,pc,returns,malfs
0,0.03125,-0.9706184056271981,48
1,0.0625,-0.9401927022274326,54
2,0.03125,-0.9699223329425557,56
3,0.0,-1.0,55
4,0.03125,-0.9795940797186401,46
5,0.09375,-0.9107927901524033,65
6,0.015625,-0.9848695779601406,36
7,0.046875,-0.9549384525205158,50
8,0.046875,-0.9543339683470106,66
9,0.0,-1.0,55
10,0.03125,-0.9835507033997656,51
11,0.078125,-0.9264544255568582,50
12,0.015625,-0.9849062133645955,44
13,0.03125,-0.9761503516998827,54
14,0.03125,-0.9699772860492379,51
15,0.0,-1.0,59
16,0.015625,-0.9849062133645955,55
17,0.046875,-0.9542057444314185,49
18,0.015625,-0.9971790738569754,52
19,0.015625,-0.9846497655334114,54
20,0.046875,-0.955030041031653,47
21,0.0,-1.0,46
22,0.046875,-0.9545354630715123,44
23,0.015625,-0.9849062133645955,63
24,0.03125,-0.9971241207502931,61
25,0.0,-1.0,51
26,0.03125,-0.9696658851113716,44
27,0.03125,-0.9714060668229777,56
28,0.0,-1.0,59
29,0.03125,-0.9696109320046893,66
30,0.0625,-0.9399362543962485,44
31,0.015625,-0.9846680832356389,54
32,0.03125,-0.980436694021102,52
33,0.125,-0.8810814771395076,54
34,0.015625,-0.9847963071512309,54
35,0.0,-1.0,51
36,0.015625,-0.9847779894490035,60
37,0.03125,-0.9702154161781946,48
38,0.03125,-0.9698307444314185,52
39,0.03125,-0.9762053048065651,56
40,0.015625,-0.9850710726846424,60
41,0.0,-1.0,55
42,0.015625,-0.9848695779601406,70
43,0.0,-1.0,50
44,0.0625,-0.9397164419695193,59
45,0.015625,-0.9847413540445487,65
46,0.0,-1.0,79
47,0.0,-1.0,59
48,0.015625,-0.9847963071512309,51
49,0.03125,-0.9697391559202814,50
50,0.0625,-0.9484356682297772,44
51,0.0625,-0.9395882180539273,63
52,0.0,-1.0,54
53,0.03125,-0.9699223329425557,43
54,0.0,-1.0,47
55,0.0,-1.0,66
56,0.0,-1.0,41
57,0.015625,-0.9852542497069168,46
58,0.078125,-0.9325175849941383,58
59,0.03125,-0.9713144783118406,58
60,0.0,-1.0,40
61,0.03125,-0.9704718640093787,55
62,0.046875,-0.9562023739742087,56
63,0.0,-1.0,48
64,0.0625,-0.9632180539273154,48
65,0.046875,-0.9596277842907386,63
66,0.03125,-0.9694827080890973,63
67,0.0,-1.0,68
68,0.0,-1.0,47
69,0.0,-1.0,59
70,0.03125,-0.9722120457209847,68
71,0.0,-1.0,51
72,0.0,-1.0,57
73,0.03125,-0.970233733880422,49
74,0.0,-1.0,63
75,0.0,-1.0,57
76,0.03125,-0.9698124267291911,56
77,0.0,-1.0,40
78,0.0,-1.0,49
79,0.015625,-0.9848512602579133,43
80,0.046875,-0.9569717174677609,58
81,0.015625,-0.985052754982415,41
82,0.0,-1.0,68
83,0.140625,-0.8680759085580305,58
84,0.015625,-0.9848878956623681,61
85,0.078125,-0.9241463950762017,55
86,0.03125,-0.9704901817116061,65
87,0.0,-1.0,60
88,0.15625,-0.8567738862837045,57
89,0.0,-1.0,46
90,0.0,-1.0,66
91,0.046875,-0.9546270515826495,65
92,0.0,-1.0,48
93,0.015625,-0.9851260257913247,53
94,0.0,-1.0,46
95,0.0,-1.0,46
96,0.03125,-0.9698673798358733,60
97,0.0,-1.0,47
98,0.0,-1.0,61
99,0.015625,-0.9852359320046893,42
100,0.046875,-0.956935082063306,44
101,0.015625,-0.9853275205158265,50
102,0.046875,-0.9571732121922626,53
103,0.015625,-0.984759671746776,53
104,0.0,-1.0,59
105,0.03125,-0.9699040152403282,47
106,0.015625,-0.9849062133645955,61
107,0.0,-1.0,62
108,0.0,-1.0,50
109,0.0625,-0.9440027842907386,67
110,0.03125,-0.9703436400937866,60
111,0.046875,-0.958162368112544,52
112,0.0,-1.0,56
113,0.03125,-0.9831293962485346,61
114,0.046875,-0.9547186400937866,40
115,0.0,-1.0,56
116,0.03125,-0.9701970984759671,52
117,0.046875,-0.9547369577960141,52
118,0.015625,-0.9847963071512309,45
119,0.09375,-0.9117819460726846,72
120,0.0,-1.0,52
121,0.0,-1.0,66
122,0.0,-1.0,54
123,0.0,-1.0,52
124,0.0,-1.0,42
125,0.015625,-0.9848329425556858,55
126,0.015625,-0.9849794841735052,56
127,0.015625,-0.9849062133645955,55
128,0.0,-1.0,48
129,0.015625,-0.9846131301289566,58
130,0.015625,-0.9848695779601406,59
131,0.078125,-0.9243112543962485,59
132,0.140625,-0.8656396541617819,42
133,0.03125,-0.9697757913247362,47
134,0.03125,-0.9708199003516998,53
135,0.015625,-0.9846680832356389,54
136,0.015625,-0.984924531066823,55
137,0.015625,-0.984924531066823,62
138,0.203125,-0.827319021101993,51
139,0.03125,-0.9695193434935522,62
140,0.03125,-0.9696292497069168,58
141,0.015625,-0.9847230363423212,62
142,0.03125,-0.9710030773739742,63
143,0.015625,-0.9853641559202814,53
144,0.03125,-0.9704169109026963,51
145,0.0625,-0.9512565943728019,56
146,0.015625,-0.984924531066823,56
147,0.015625,-0.9849062133645955,57
148,0.015625,-0.9848146248534584,53
149,0.109375,-0.8943068581477139,51
150,0.0,-1.0,52
151,0.046875,-0.9559092907385698,48
152,0.015625,-0.9848329425556858,42
153,0.0625,-0.942537368112544,47
154,0.015625,-0.9847413540445487,42
155,0.046875,-0.9552132180539273,55
156,0.0,-1.0,49
157,0.03125,-0.9697025205158265,55
158,0.0,-1.0,55
159,0.046875,-0.9560741500586166,53
160,0.046875,-0.9545904161781946,56
161,0.0625,-0.9409254103165299,53
162,0.0,-1.0,50
163,0.03125,-0.9695376611957796,58
164,0.0,-1.0,45
165,0.015625,-0.9847413540445487,52
166,0.015625,-0.9848329425556858,38
167,0.046875,-0.9546270515826495,54
168,0.0,-1.0,57
169,0.109375,-0.896468347010551,55
170,0.0,-1.0,67
171,0.0625,-0.939405041031653,44
172,0.046875,-0.9546636869871044,51
173,0.015625,-0.9855290152403282,49
174,0.046875,-0.95448050996483,49
175,0.0,-1.0,50
176,0.046875,-0.9550483587338804,44
177,0.0,-1.0,46
178,0.078125,-0.9248974208675264,58
179,0.0,-1.0,49
