,pc,returns,malfs
0,0.03125,-0.9698350694444444,20
1,0.0,-1.0,13
2,0.21875,-0.7891167534722222,24
3,0.0,-1.0,21
4,0.125,-0.8800998263888888,20
5,0.0,-1.0,10
6,0.0625,-0.9408637152777778,13
7,0.0625,-0.9838324652777778,20
8,0.09375,-0.9118923611111112,17
9,0.03125,-0.970703125,21
10,0.03125,-0.9708116319444444,18
11,0.0,-1.0,15
12,0.125,-0.8824329983249581,19
13,0.25,-0.7637803819444444,18
14,0.21875,-0.79541015625,22
15,0.03125,-0.9704318576388888,12
16,0.0,-1.0,15
17,0.3125,-0.7052408854166666,22
18,0.21875,-0.7969835069444444,14
19,0.21875,-0.8502604166666666,25
20,0.03125,-0.9697808159722222,17
21,0.0,-1.0,20
22,0.1875,-0.8186848958333334,14
23,0.0,-1.0,18
24,0.125,-0.8825954861111112,22
25,0.0,-1.0,12
26,0.25,-0.7725694444444444,21
27,0.125,-0.8802625868055556,23
28,0.0,-1.0,14
29,0.0625,-0.9421587102177554,16
30,0.03125,-0.9973415798611112,14
31,0.0,-1.0,17
32,0.03125,-0.9695638020833334,13
33,0.0,-1.0,13
34,0.09375,-0.9106987847222222,22
35,0.0,-1.0,23
36,0.03125,-0.9727105034722222,19
37,0.0,-1.0,12
38,0.0,-1.0,17
39,0.15625,-0.8537868923611112,16
40,0.0625,-0.9437391493055556,17
41,0.09375,-0.9115125868055556,20
42,0.0,-1.0,13
43,0.0,-1.0,20
44,0.0,-1.0,17
45,0.0625,-0.9403211805555556,20
46,0.0625,-0.9400125628140703,15
47,0.0,-1.0,17
48,0.125,-0.8813860971524288,17
49,0.03125,-0.9707573784722222,17
50,0.125,-0.8800455729166666,21
51,0.0,-1.0,29
52,0.0,-1.0,15
53,0.125,-0.8816189236111112,14
54,0.0,-1.0,18
55,0.125,-0.8811306423611112,20
56,0.03125,-0.9695095486111112,13
57,0.0,-1.0,16
58,0.0,-1.0,15
59,0.0,-1.0,21
60,0.1875,-0.8484157986111112,14
61,0.1875,-0.8235677083333334,24
62,0.125,-0.8983832465277778,17
63,0.03125,-0.9704318576388888,15
64,0.03125,-0.9704318576388888,15
65,0.0,-1.0,19
66,0.03125,-0.9766541038525963,13
67,0.09375,-0.9136827256944444,17
68,0.0,-1.0,17
69,0.09375,-0.9154188368055556,22
70,0.0,-1.0,17
71,0.0,-1.0,19
72,0.03125,-0.9697808159722222,17
73,0.0,-1.0,19
74,0.03125,-0.9698350694444444,18
75,0.28125,-0.7363823784722222,10
76,0.09375,-0.9101019965277778,21
77,0.3125,-0.8044704861111112,16
78,0.03125,-0.9703776041666666,10
79,0.0,-1.0,21
80,0.0,-1.0,12
81,0.03125,-0.9705946180555556,13
82,0.03125,-0.9696180555555556,15
83,0.0,-1.0,16
84,0.03125,-0.9704861111111112,12
85,0.0625,-0.9398871527777778,16
86,0.0625,-0.9407009548611112,26
87,0.03125,-0.9705403645833334,15
88,0.125,-0.8801540798611112,17
89,0.09375,-0.9096137152777778,23
90,0.0,-1.0,20
91,0.0625,-0.94091796875,19
92,0.03125,-0.9702690972222222,19
93,0.09375,-0.91455078125,16
94,0.21875,-0.7905815972222222,23
95,0.03125,-0.9695095486111112,16
96,0.15625,-0.8511827256944444,13
97,0.03125,-0.9697969011725294,16
98,0.0,-1.0,22
99,0.0625,-0.93994140625,18
100,0.03125,-0.9703233506944444,16
101,0.15625,-0.85302734375,14
102,0.09375,-0.9136827256944444,18
103,0.0,-1.0,21
104,0.0625,-0.9480251736111112,16
105,0.03125,-0.9703233506944444,17
106,0.0,-1.0,22
107,0.0,-1.0,15
108,0.03125,-0.9707573784722222,13
109,0.03125,-0.9837782118055556,16
110,0.15625,-0.8562825520833334,15
111,0.03125,-0.9714626736111112,17
112,0.3125,-0.712890625,15
113,0.21875,-0.7957899305555556,24
114,0.0625,-0.9434678819444444,23
115,0.0,-1.0,17
116,0.0625,-0.9410807291666666,24
117,0.0625,-0.9400499131944444,25
118,0.0,-1.0,19
119,0.0,-1.0,15
120,0.15625,-0.8534071180555556,14
121,0.0,-1.0,16
122,0.0625,-0.9403754340277778,21
123,0.03125,-0.9701605902777778,17
124,0.1875,-0.8212890625,18
125,0.1875,-0.8256293402777778,23
126,0.125,-0.8810221354166666,17
