,pc,returns,malfs
0,0.0,-1.0,8
1,0.125,-0.8817602040816327,7
2,0.1875,-0.8228316326530613,12
3,0.875,-0.22270408163265307,6
4,0.25,-0.827295918367347,4
5,0.25,-0.7716836734693877,6
6,0.0,-1.0,5
7,0.1875,-0.8219387755102041,9
8,0.3125,-0.7057397959183673,6
9,0.5625,-0.470280612244898,8
10,0.875,-0.23660714285714285,10
11,0.875,-0.20369897959183675,9
12,0.0,-1.0,7
13,0.25,-0.7651785714285714,5
14,0.125,-0.9371173469387755,7
15,0.5,-0.5230867346938776,5
16,0.3125,-0.7207908163265306,4
17,0.1875,-0.832015306122449,9
18,0.3125,-0.7085459183673469,9
19,0.25,-0.7730867346938776,6
20,0.4375,-0.6210459183673469,7
21,0.0,-1.0,11
22,0.25,-0.7697704081632653,6
23,0.3125,-0.699462890625,12
24,0.125,-0.8816326530612245,6
25,0.5625,-0.47091836734693876,5
26,0.25,-0.764030612244898,10
27,0.1875,-0.9068603515625,7
28,0.3125,-0.7206632653061225,11
29,0.375,-0.6460459183673469,7
30,0.9375,-0.12060546875,7
31,0.0625,-0.9395408163265306,5
32,0.3125,-0.7112244897959183,5
33,0.0,-1.0,11
34,0.6875,-0.36275510204081635,6
35,0.0625,-0.9392857142857143,11
36,0.0625,-0.9431122448979592,8
37,0.1875,-0.825,5
38,0.125,-0.8820153061224489,8
39,0.0625,-0.9423469387755102,4
40,0.5,-0.5339285714285714,10
41,0.5,-0.5302295918367347,3
42,0.3125,-0.7105712890625,8
43,0.0,-1.0,6
44,0.0,-1.0,7
45,0.1875,-0.8483418367346939,6
46,0.0,-1.0,9
47,0.375,-0.6501275510204082,6
48,0.375,-0.6475765306122448,12
49,0.0,-1.0,8
50,0.3125,-0.7128826530612244,7
51,0.0625,-0.9431122448979592,5
52,0.5,-0.5401785714285714,7
53,0.3125,-0.7104591836734694,9
54,0.25,-0.7690051020408163,9
55,0.5,-0.5331632653061225,7
56,0.625,-0.4336734693877551,12
57,0.8125,-0.2968112244897959,6
58,0.3125,-0.7613520408163266,10
59,0.6875,-0.3790283203125,9
60,0.125,-0.8830357142857143,7
61,0.0625,-0.9409438775510204,6
62,0.3125,-0.8594970703125,7
63,0.4375,-0.5878826530612244,8
64,0.25,-0.7622448979591837,5
65,0.0,-1.0,2
66,0.1875,-0.8235969387755102,6
67,0.125,-0.8821428571428571,8
68,0.3125,-0.8103316326530612,8
69,0.0,-1.0,5
70,0.1875,-0.81875,7
71,0.125,-0.8826530612244898,7
72,0.0,-1.0,6
73,0.0625,-0.9409438775510204,13
74,0.375,-0.6637755102040817,6
75,0.25,-0.7649234693877551,9
76,0.0625,-0.9391581632653061,7
77,0.0625,-0.9406887755102041,10
78,0.1875,-0.8221938775510204,7
79,0.375,-0.6459183673469387,8
80,0.1875,-0.8198979591836735,6
81,0.375,-0.6668367346938775,8
82,0.1875,-0.8239795918367347,12
83,0.25,-0.7670918367346938,8
84,0.0625,-0.9422607421875,13
85,0.5625,-0.47232142857142856,8
86,0.0,-1.0,9
87,0.0625,-0.939795918367347,7
88,0.1875,-0.825927734375,9
89,0.125,-0.8818877551020409,6
90,0.25,-0.7732142857142857,6
91,0.1875,-0.8340561224489796,3
92,0.0625,-0.9415816326530613,6
93,0.125,-0.9264030612244898,9
94,0.375,-0.65625,9
95,0.3125,-0.7085459183673469,6
96,0.125,-0.8832908163265306,4
97,0.0,-1.0,3
98,0.0625,-0.9401785714285714,8
99,0.0625,-0.9408163265306122,9
100,0.1875,-0.8224489795918367,5
101,0.875,-0.269515306122449,12
102,0.625,-0.4691326530612245,7
103,0.375,-0.6488520408163265,11
104,0.4375,-0.5998724489795918,8
105,0.5,-0.5355867346938775,12
106,0.25,-0.7720663265306122,6
107,0.4375,-0.6024234693877552,5
108,0.0,-1.0,3
109,0.125,-0.8794642857142857,4
110,0.5625,-0.4743622448979592,6
111,0.3125,-0.719515306122449,6
112,0.625,-0.5528061224489796,10
113,0.0,-1.0,12
114,0.0625,-0.9415816326530613,11
115,0.3125,-0.9647216796875,10
116,0.3125,-0.7063775510204081,10
117,0.75,-0.32066326530612244,11
118,0.375,-0.648469387755102,6
119,0.75,-0.30573979591836736,4
120,0.625,-0.4108418367346939,7
121,0.375,-0.6589285714285714,10
122,0.0,-1.0,9
123,0.4375,-0.5889030612244898,2
124,0.3125,-0.7091836734693877,6
125,0.0625,-0.942984693877551,8
126,0.0,-1.0,6
127,0.125,-0.8857142857142857,3
128,0.1875,-0.8241071428571428,5
129,0.1875,-0.832015306122449,4
130,0.1875,-0.8238520408163266,7
131,0.5,-0.5275510204081633,7
132,0.0,-1.0,5
133,0.0,-1.0,7
134,0.0625,-0.9445153061224489,7
135,0.0,-1.0,10
136,0.125,-0.88125,9
137,0.25,-0.7651785714285714,9
138,0.5,-0.5345663265306122,5
139,0.3125,-0.7117919921875,6
140,0.0,-1.0,8
141,0.125,-0.8864795918367347,8
142,0.8125,-0.29744897959183675,8
143,0.3125,-0.7223214285714286,8
144,0.75,-0.3360969387755102,7
145,0.25,-0.7608418367346939,10
146,0.6875,-0.35739795918367345,8
147,0.0,-1.0,8
148,0.0,-1.0,1
149,0.375,-0.6450255102040816,7
150,0.1875,-0.821045918367347,5
151,0.0,-1.0,11
152,0.375,-0.6459183673469387,6
153,0.125,-0.8830357142857143,13
154,0.0,-1.0,5
155,0.1875,-0.8302295918367347,8
156,0.125,-0.8860969387755102,9
157,1.0,-0.08545918367346939,1
158,0.3125,-0.7397959183673469,15
159,0.0625,-0.9442602040816327,8
160,0.125,-0.8840561224489796,5
161,0.1875,-0.8200255102040817,8
162,0.625,-0.4204081632653061,9
163,0.125,-0.8786989795918367,10
164,0.0,-1.0,2
165,0.0625,-0.9413265306122449,5
166,0.4375,-0.5913265306122449,8
167,0.0,-1.0,5
168,0.125,-0.8825255102040817,7
169,0.0,-1.0,7
170,0.25,-0.7668367346938776,10
171,1.0,-0.0506591796875,0
172,0.0,-1.0,8
173,0.375,-0.6857142857142857,7
174,0.375,-0.6598214285714286,4
175,0.0,-1.0,4
176,0.125,-0.8826530612244898,6
177,0.375,-0.6463010204081633,8
178,0.0,-1.0,12
179,0.0,-1.0,8
180,0.1875,-0.8336734693877551,7
181,0.0625,-0.9404336734693878,5
182,0.0625,-0.9399234693877551,7
183,0.8125,-0.2403061224489796,6
184,0.0625,-0.9415816326530613,13
185,0.125,-0.880484693877551,5
186,0.25,-0.767219387755102,8
187,0.0,-1.0,4
188,0.875,-0.18852040816326532,10
189,0.3125,-0.7415816326530612,8
190,1.0,-0.2897959183673469,2
191,0.1875,-0.8329081632653061,14
192,0.3125,-0.7020408163265306,4
193,1.0,-0.1406887755102041,2
194,0.0625,-0.9419642857142857,7
195,0.0,-1.0,8
196,0.375,-0.653188775510204,11
197,0.8125,-0.2656887755102041,7
198,0.1875,-0.8256377551020408,7
199,0.6875,-0.3818877551020408,10
200,0.1875,-0.8213010204081632,3
201,0.125,-0.8786989795918367,4
202,0.0625,-0.9411989795918367,8
203,0.0,-1.0,12
204,0.6875,-0.3579081632653061,5
205,0.5,-0.536865234375,11
206,0.0,-1.0,6
207,0.375,-0.6548469387755103,6
208,0.5,-0.5315051020408164,3
209,0.3125,-0.7048469387755102,7
210,0.25,-0.7719387755102041,7
211,0.125,-0.8840561224489796,7
212,0.25,-0.7651785714285714,9
213,0.0,-1.0,6
214,0.1875,-0.8251275510204081,8
215,0.5,-0.5512755102040816,12
216,0.4375,-0.6,5
217,0.0625,-0.9422193877551021,4
218,0.25,-0.7677295918367347,7
219,0.5625,-0.5098214285714285,8
220,0.0625,-0.940561224489796,8
221,0.0,-1.0,16
222,0.0,-1.0,6
223,0.0,-1.0,4
224,0.0625,-0.9409438775510204,10
225,0.625,-0.42372448979591837,8
226,0.4375,-0.5909438775510204,8
227,0.4375,-0.6136479591836734,8
228,0.0,-1.0,5
229,0.0625,-0.9413265306122449,5
230,0.125,-0.8860969387755102,7
231,0.5625,-0.480712890625,4
232,0.1875,-0.8261479591836735,7
233,0.0625,-0.9541015625,13
234,0.5625,-0.4955357142857143,7
235,0.3125,-0.704719387755102,8
236,0.25,-0.7845663265306122,6
237,0.5625,-0.47130102040816324,10
238,1.0,-0.08533163265306122,1
239,0.25,-0.7744897959183673,4
240,0.0625,-0.9390869140625,4
241,0.125,-0.8840561224489796,12
242,1.0,-0.08431122448979592,2
243,0.1875,-0.8253826530612245,8
244,0.3125,-0.7061224489795919,10
245,0.3125,-0.7034438775510204,13
246,0.0,-1.0,10
247,0.625,-0.41862244897959183,8
248,0.125,-0.8843112244897959,7
249,0.0,-1.0,11
250,0.1875,-0.8270408163265306,7
251,0.5,-0.5612244897959183,7
252,0.75,-0.39599609375,9
253,0.125,-0.8788265306122449,6
254,0.3125,-0.7020408163265306,9
255,0.0,-1.0,13
256,0.0625,-0.9422193877551021,13
257,0.3125,-0.7121173469387755,4
258,0.875,-0.21989795918367347,11
259,0.0,-1.0,6
260,0.625,-0.4493622448979592,13
261,0.125,-0.8848214285714285,4
262,0.4375,-0.5904336734693878,9
263,0.0,-1.0,7
264,0.0625,-0.9403061224489796,9
265,0.125,-0.8838010204081632,10
266,0.8125,-0.28494897959183674,7
267,0.5,-0.5255102040816326,7
268,0.3125,-0.7204081632653061,5
269,0.0625,-0.9420918367346939,7
270,0.0,-1.0,8
271,0.0625,-0.9415816326530613,9
272,0.0,-1.0,5
273,0.0,-1.0,7
274,0.0,-1.0,9
275,0.0,-1.0,8
276,0.5625,-0.49668367346938774,7
277,0.0625,-0.9406887755102041,9
278,0.125,-0.8801020408163265,6
279,0.1875,-0.8255102040816327,11
280,0.0,-1.0,6
281,0.4375,-0.5890306122448979,14
282,0.625,-0.42002551020408163,8
283,0.0,-1.0,9
284,0.5,-0.5737244897959184,9
285,0.125,-0.8886479591836735,7
286,0.125,-0.8878826530612245,5
287,0.4375,-0.5862244897959183,4
288,0.4375,-0.5866071428571429,10
289,1.0,-0.1149234693877551,5
290,0.375,-0.6515306122448979,7
291,0.625,-0.4174744897959184,11
292,0.75,-0.43354591836734696,11
293,0.0625,-0.9396683673469388,7
294,0.125,-0.8855867346938775,10
295,0.5,-0.5352040816326531,8
296,0.0,-1.0,7
297,0.1875,-0.8195153061224489,5
298,0.125,-0.8816326530612245,9
299,0.0625,-0.9401785714285714,12
300,0.0,-1.0,12
301,1.0,-0.08635204081632653,1
302,0.5625,-0.4931122448979592,8
303,0.0625,-0.9408163265306122,9
304,0.1875,-0.8230867346938775,7
305,0.1875,-0.8204345703125,12
306,0.25,-0.7608418367346939,7
307,0.5,-0.5262755102040816,10
308,0.75,-0.34043367346938774,13
309,0.625,-0.4401785714285714,9
310,0.3125,-0.724234693877551,6
311,0.3125,-0.6978316326530613,5
312,0.0,-1.0,3
313,0.1875,-0.8266581632653062,9
314,0.0,-1.0,10
315,0.1875,-0.8331632653061225,6
316,0.9375,-0.22487244897959183,8
317,0.1875,-0.8218112244897959,7
318,0.0625,-0.9410714285714286,5
319,0.625,-0.6834183673469387,4
320,0.0625,-0.9395408163265306,4
321,0.0625,-0.9733418367346939,9
322,0.125,-0.8820153061224489,6
323,0.3125,-0.7128826530612244,10
324,0.0625,-0.939795918367347,6
325,0.3125,-0.7223214285714286,10
326,0.5,-0.6423469387755102,10
327,0.0,-1.0,8
328,0.1875,-0.8201530612244898,12
329,0.0,-1.0,7
330,0.375,-0.6494897959183673,8
331,0.5625,-0.4829081632653061,5
332,0.0,-1.0,8
333,0.4375,-0.5998724489795918,6
334,0.3125,-0.7098214285714286,13
335,0.0625,-0.9420918367346939,12
336,0.0625,-0.9422193877551021,8
337,0.375,-0.6488520408163265,4
338,0.25,-0.7645408163265306,10
339,1.0,-0.1524234693877551,3
340,0.8125,-0.2441326530612245,7
341,0.25,-0.7714285714285715,8
342,0.0,-1.0,10
343,0.375,-0.6447704081632653,9
344,0.0,-1.0,14
345,0.1875,-0.8262755102040816,5
346,0.625,-0.41403061224489796,11
347,0.0625,-0.9433673469387756,9
348,0.0625,-0.9406887755102041,9
349,0.0,-1.0,6
350,0.5,-0.5438775510204081,8
351,0.0625,-0.9422193877551021,7
352,0.6875,-0.36441326530612245,8
353,0.625,-0.530484693877551,6
354,0.1875,-0.8193877551020409,10
355,0.5,-0.525,9
356,0.0625,-0.9410714285714286,8
357,0.5,-0.5303571428571429,9
358,0.125,-0.880484693877551,13
359,0.125,-0.8855867346938775,10
360,0.25,-0.7595663265306123,8
361,0.375,-0.6478316326530612,4
362,0.6875,-0.3747448979591837,11
363,0.5,-0.5233418367346939,4
364,0.0,-1.0,4
365,0.25,-0.7610969387755102,8
366,0.25,-0.7882653061224489,13
367,0.0625,-0.9426020408163265,6
368,1.0,-0.11683673469387755,2
369,0.5,-0.5352040816326531,8
370,0.1875,-0.9091836734693878,6
371,0.0,-1.0,6
372,0.4375,-0.5904336734693878,9
373,0.0625,-0.940561224489796,7
374,0.3125,-0.7034438775510204,6
