,pc,returns,malfs
0,0.046875,-0.9545537807737398,62
1,0.171875,-0.8409290738569754,50
2,0.171875,-0.8401047772567409,45
3,0.1875,-0.8209994138335287,50
4,0.078125,-0.9303194607268465,45
5,0.015625,-0.9866097596717468,51
6,0.234375,-0.7773300117233294,57
7,0.046875,-0.9542790152403282,65
8,0.0625,-0.9395515826494725,57
9,0.015625,-0.9849062133645955,47
10,0.078125,-0.9278648886283705,37
11,0.125,-0.8989961899179367,42
12,0.046875,-0.9547186400937866,50
13,0.046875,-0.9556894783118406,51
14,0.03125,-0.9702520515826495,46
15,0.03125,-0.9753810082063306,53
16,0.015625,-0.984924531066823,56
17,0.28125,-0.7502014947245017,65
18,0.078125,-0.92458601992966,48
19,0.09375,-0.9229557444314185,50
20,0.203125,-0.8126648593200468,65
21,0.078125,-0.9303194607268465,62
22,0.0625,-0.940082796014068,44
23,0.09375,-0.9093640093786636,45
24,0.109375,-0.9011943141852286,54
25,0.015625,-0.9853641559202814,57
26,0.078125,-0.9245127491207503,46
27,0.046875,-0.9786232415005862,52
28,0.09375,-0.9109576494724502,54
29,0.171875,-0.8713730949589683,45
30,0.046875,-0.9590049824150059,53
31,0.125,-0.879909144196952,54
32,0.03125,-0.9698124267291911,41
33,0.078125,-0.9253187280187574,56
34,0.046875,-0.9544438745603752,56
35,0.078125,-0.9260514361078547,52
36,0.09375,-0.9336166471277842,50
37,0.21875,-0.7929916471277842,46
38,0.046875,-0.9595728311840562,54
39,0.09375,-0.912478018757327,53
40,0.015625,-0.9847963071512309,63
41,0.046875,-0.955414712778429,41
42,0.125,-0.8834444607268465,51
43,0.0625,-0.9393684056271981,52
44,0.0625,-0.9416581184056272,63
45,0.109375,-0.8966881594372802,56
46,0.09375,-0.9124047479484173,62
47,0.0625,-0.9396248534583822,64
48,0.109375,-0.8952776963657679,48
49,0.0,-1.0,54
50,0.078125,-0.932206184056272,48
51,0.265625,-0.7547259671746777,52
52,0.109375,-0.8963584407971864,47
53,0.046875,-0.9690247655334114,57
54,0.0,-1.0,46
55,0.03125,-0.9700139214536928,54
56,0.015625,-0.9848329425556858,47
57,0.09375,-0.9137053048065651,65
58,0.078125,-0.9399912075029309,56
59,0.09375,-0.9105729777256741,50
60,0.109375,-0.8956257327080891,47
61,0.03125,-0.9990291617819461,60
62,0.078125,-0.940888774912075,49
63,0.015625,-0.9851443434935522,69
64,0.125,-0.881228018757327,50
65,0.046875,-0.9564588218053928,62
66,0.078125,-0.9337265533411488,42
67,0.09375,-0.9227725674091442,44
68,0.046875,-0.9556528429073857,54
69,0.015625,-0.9848878956623681,61
70,0.0625,-0.9418412954279015,52
71,0.015625,-0.9852542497069168,51
72,0.03125,-0.9795208089097304,50
73,0.015625,-0.9849428487690504,52
74,0.0,-1.0,40
75,0.25,-0.7689038686987104,50
76,0.015625,-0.9848512602579133,46
77,0.046875,-0.9545354630715123,48
78,0.078125,-0.9255568581477139,53
79,0.046875,-0.954773593200469,50
80,0.03125,-0.9697757913247362,53
81,0.1875,-0.8299934056271981,66
82,0.109375,-0.9608367526377491,57
83,0.0625,-0.9399179366940211,47
84,0.109375,-0.9132473622508792,64
85,0.078125,-0.9244028429073857,48
86,0.109375,-0.9066713071512309,51
87,0.125,-0.8894160316529894,48
88,0.0,-1.0,45
