,pc,returns,malfs
0,0.09375,-0.9095594618055556,15
1,0.375,-0.6545138888888888,13
2,0.0,-1.0,17
3,0.09375,-0.916015625,28
4,0.125,-0.8802083333333334,17
5,0.03125,-0.9704861111111112,19
6,0.09375,-0.9137912326388888,24
7,0.09375,-0.916823701842546,15
8,0.3125,-0.73193359375,16
9,0.34375,-0.6919487847222222,18
10,0.09375,-0.9103190104166666,19
11,0.0625,-0.93994140625,8
12,0.0,-1.0,16
13,0.25,-0.7722439236111112,19
14,0.15625,-0.8511284722222222,17
15,0.15625,-0.9037000868055556,21
16,0.34375,-0.7279188368055556,22
17,0.21875,-0.8025716145833334,19
18,0.6875,-0.5919596354166666,18
19,0.0625,-0.9450412326388888,16
20,0.15625,-0.8501519097222222,17
21,0.125,-0.8787434895833334,15
22,0.15625,-0.8489583333333334,18
23,0.375,-0.6584201388888888,18
24,0.125,-0.8829210069444444,19
25,0.40625,-0.6224500868055556,18
26,0.125,-0.8810221354166666,17
27,0.15625,-0.849609375,11
28,0.09375,-0.9095594618055556,23
29,0.125,-0.8836805555555556,21
30,0.34375,-0.7258029513888888,18
31,0.71875,-0.3427734375,12
32,0.21875,-0.8502604166666666,16
33,0.3125,-0.7678493923611112,20
34,0.03125,-0.9828016493055556,15
35,0.15625,-0.8648546006944444,17
36,0.03125,-0.9705946180555556,20
37,0.09375,-0.9104275173611112,12
38,0.34375,-0.6799045138888888,18
39,0.21875,-0.8113064236111112,20
40,0.21875,-0.7980143229166666,20
41,0.125,-0.8869900173611112,17
42,0.0,-1.0,10
43,0.09375,-0.91015625,21
44,0.03125,-0.9700520833333334,16
45,0.125,-0.8981662326388888,19
46,0.34375,-0.6746419270833334,18
47,0.09375,-0.9109700520833334,19
48,0.21875,-0.7890625,12
49,0.28125,-0.8046332465277778,15
50,0.03125,-0.9710828993055556,17
51,0.375,-0.6564127604166666,15
52,0.25,-0.8310546875,12
53,0.09375,-0.9133029513888888,25
54,0.3125,-0.7032335069444444,20
55,0.09375,-0.9108615451388888,14
56,0.3125,-0.7186957465277778,19
57,0.25,-0.7721354166666666,19
58,0.1875,-0.8262803819444444,21
59,0.09375,-0.9112413194444444,11
60,0.40625,-0.6296657986111112,14
61,0.09375,-0.9120551215277778,18
62,0.125,-0.8792317708333334,15
63,0.25,-0.7605794270833334,22
64,0.0,-1.0,18
65,0.28125,-0.73779296875,19
66,0.0625,-0.9411892361111112,20
67,0.375,-0.6584201388888888,16
68,0.09375,-0.9095594618055556,19
69,0.15625,-0.8544379340277778,18
70,0.0625,-0.9414605034722222,22
71,0.34375,-0.6746419270833334,17
72,0.03125,-0.9699435763888888,12
73,0.09375,-0.9108615451388888,25
74,0.0625,-0.9396701388888888,22
75,0.3125,-0.7050238715277778,24
76,0.0625,-0.9404296875,23
77,0.5,-0.5368923611111112,15
78,0.3125,-0.7084418402777778,19
79,0.375,-0.6439344618055556,12
80,0.0,-1.0,17
81,0.21875,-0.7950167504187605,25
82,0.3125,-0.7093641493055556,18
83,0.21875,-0.7914496527777778,20
84,0.0,-1.0,20
85,0.09375,-0.9253472222222222,18
86,0.125,-0.8814019097222222,13
87,0.0,-1.0,22
88,0.0625,-0.9422200520833334,21
89,0.125,-0.8955078125,14
90,0.8125,-0.4908311631944444,16
91,0.25,-0.77294921875,21
92,0.0,-1.0,15
93,0.125,-0.8810763888888888,12
94,0.125,-0.8982204861111112,18
95,0.125,-0.8823784722222222,15
96,0.03125,-0.9705946180555556,21
97,0.0,-1.0,12
98,0.75,-0.3473849826388889,17
99,0.21875,-0.796875,18
100,0.15625,-0.8506944444444444,20
101,0.03125,-0.9695638020833334,11
102,0.34375,-0.6854383680555556,15
103,0.15625,-0.8550889756944444,15
104,0.09375,-0.9120551215277778,14
105,0.15625,-0.8503146701388888,17
106,0.15625,-0.8491753472222222,16
107,0.5625,-0.490234375,17
108,0.3125,-0.7028894472361809,24
109,0.03125,-0.9703776041666666,23
110,0.25,-0.7752821180555556,12
111,0.125,-0.8815104166666666,19
112,0.40625,-0.6275499131944444,15
113,0.15625,-0.8530815972222222,20
114,0.71875,-0.4098307291666667,15
115,0.34375,-0.6785481770833334,16
116,0.21875,-0.7898763020833334,8
117,0.4375,-0.6018337673611112,17
118,0.15625,-0.8521050347222222,14
119,0.4375,-0.6029188368055556,18
120,0.25,-0.7967122395833334,27
121,0.375,-0.7281901041666666,13
122,0.125,-0.8806966145833334,20
123,0.0625,-0.9392361111111112,16
124,0.0,-1.0,17
125,0.34375,-0.6766493055555556,20
126,0.125,-0.8815104166666666,15
127,0.09375,-0.91015625,20
128,0.25,-0.7668185763888888,20
129,0.21875,-0.8070746527777778,19
130,0.3125,-0.7220052083333334,17
131,0.0,-1.0,17
132,0.15625,-0.8562282986111112,22
133,0.40625,-0.6833224826388888,25
134,0.09375,-0.9118381076388888,16
135,0.28125,-0.7819552951388888,22
136,0.15625,-0.8539496527777778,21
137,0.21875,-0.7974717881944444,29
138,0.28125,-0.7356770833333334,14
139,0.15625,-0.85107421875,27
140,0.0625,-0.9396158854166666,19
141,0.1875,-0.8310004340277778,20
142,0.125,-0.8870442708333334,15
143,0.03125,-0.97900390625,20
144,0.4375,-0.6102973090277778,13
145,0.09375,-0.9331597222222222,24
146,0.21875,-0.8163519965277778,12
147,0.1875,-0.88232421875,16
148,0.09375,-0.9253472222222222,12
149,0.3125,-0.7462022569444444,16
150,0.84375,-0.2559136284722222,20
151,0.125,-0.8850368923611112,15
152,0.125,-0.8795572916666666,19
153,0.25,-0.7840711805555556,22
154,0.09375,-0.9102105034722222,17
155,0.0625,-0.94091796875,17
156,0.1875,-0.8232964409722222,22
157,0.0625,-0.9393988715277778,22
158,0.3125,-0.7082248263888888,17
159,0.0,-1.0,11
160,0.09375,-0.9102105034722222,18
161,0.125,-0.8817274305555556,10
162,0.46875,-0.5631510416666666,16
163,0.40625,-0.6379123263888888,22
164,0.3125,-0.7125108506944444,23
165,0.28125,-0.7418619791666666,15
166,0.03125,-0.9697808159722222,26
167,0.34375,-0.6808810763888888,26
168,0.09375,-0.9105360243055556,23
