,pc,returns,malfs
0,0.6875,-0.36020408163265305,4
1,0.0625,-0.9419642857142857,6
2,0.3125,-0.702295918367347,6
3,0.0,-1.0,10
4,0.5625,-0.48354591836734695,7
5,0.625,-0.4063775510204082,14
6,0.5,-0.5352040816326531,8
7,0.6875,-0.3739795918367347,4
8,0.4375,-0.5920918367346939,7
9,0.9375,-0.13941326530612244,7
10,0.75,-0.30497448979591835,7
11,0.5,-0.5855867346938776,9
12,0.6875,-0.4016581632653061,11
13,0.25,-0.7636479591836735,10
14,1.0,-0.08545918367346939,1
15,0.125,-0.8813775510204082,7
16,0.0,-1.0,5
17,0.1875,-0.8246173469387755,8
18,0.125,-0.883545918367347,7
19,0.375,-0.6482142857142857,6
20,1.0,-0.1104591836734694,1
21,1.0,-0.09681122448979591,1
22,0.625,-0.432861328125,8
23,0.5,-0.533545918367347,7
24,0.9375,-0.12959183673469388,9
25,0.0,-1.0,7
26,0.5625,-0.4639892578125,7
27,0.25,-0.7748724489795918,6
28,0.125,-0.8785400390625,9
29,1.0,-0.09426020408163266,1
30,0.25,-0.760969387755102,5
31,0.0,-1.0,13
32,0.375,-0.6451530612244898,8
33,0.0,-1.0,8
34,0.6875,-0.35854591836734695,6
35,0.125,-0.8809814453125,5
36,0.1875,-0.8270408163265306,3
37,0.4375,-0.5890306122448979,8
38,0.4375,-0.5876275510204082,8
39,1.0,-0.12104591836734693,4
40,1.0,-0.0788265306122449,0
41,0.3125,-0.707015306122449,7
42,0.25,-0.7982142857142858,9
43,0.75,-0.3012755102040816,3
44,1.0,-0.1090561224489796,0
45,1.0,-0.08405612244897959,1
46,0.4375,-0.5881377551020408,7
47,0.5,-0.5436224489795919,8
48,0.25,-0.7881377551020409,9
49,0.9375,-0.16581632653061223,6
50,0.125,-0.8793367346938775,3
51,0.375,-0.6608418367346939,7
52,0.5,-0.5332908163265306,5
53,0.25,-0.7779336734693878,8
54,0.25,-0.7779336734693878,1
55,0.375,-0.6534438775510204,9
56,0.25,-0.7670918367346938,5
57,0.875,-0.21517857142857144,5
58,0.4375,-0.5993622448979592,10
59,0.1875,-0.8284438775510204,7
60,0.25,-0.7691326530612245,7
61,1.0,-0.09630102040816327,0
62,0.6875,-0.38724489795918365,5
63,0.3125,-0.7091836734693877,4
64,1.0,-0.08826530612244898,0
65,1.0,-0.1360969387755102,2
66,1.0,-0.07295918367346939,0
67,1.0,-0.05419921875,1
68,0.1875,-0.8193877551020409,11
69,0.25,-0.7642857142857142,3
70,0.625,-0.42168367346938773,4
71,0.3125,-0.7145408163265307,10
72,0.1875,-0.8270408163265306,3
73,0.1875,-0.8244897959183674,9
74,0.1875,-0.8343112244897959,9
75,1.0,-0.11364795918367347,2
76,0.25,-0.769515306122449,7
77,1.0,-0.12193877551020409,0
78,0.9375,-0.13584183673469388,6
79,1.0,-0.08112244897959184,1
80,0.3125,-0.6997448979591837,11
81,1.0,-0.10267857142857142,3
82,0.625,-0.4097900390625,5
83,0.4375,-0.5982142857142857,5
84,0.375,-0.6670918367346939,5
85,0.3125,-0.7030612244897959,9
86,0.25,-0.7654336734693877,5
87,0.125,-0.8802295918367347,9
88,0.625,-0.4181122448979592,16
89,1.0,-0.07028061224489796,1
90,0.5,-0.5313720703125,9
91,0.375,-0.6700255102040816,14
92,0.1875,-0.8221938775510204,14
93,1.0,-0.08686224489795918,3
94,0.5,-0.5352040816326531,12
95,0.125,-0.8873724489795919,9
96,1.0,-0.1110969387755102,2
97,0.5,-0.5372448979591836,5
98,0.125,-0.8978316326530612,9
99,0.0625,-0.939795918367347,5
100,0.3125,-0.7135204081632653,4
101,0.25,-0.7669642857142858,7
102,0.8125,-0.2707908163265306,7
103,0.125,-0.8834228515625,4
104,0.0625,-0.9415816326530613,6
105,0.625,-0.44540816326530613,3
106,1.0,-0.1264030612244898,5
107,0.3125,-0.7086734693877551,10
108,0.0,-1.0,9
109,0.0,-1.0,12
110,1.0,-0.10178571428571428,2
111,0.0625,-0.9409438775510204,6
112,0.5,-0.5581632653061225,8
113,0.125,-0.8793367346938775,8
114,0.0625,-0.9396683673469388,6
115,0.0625,-0.9413265306122449,7
116,0.4375,-0.5951530612244897,10
117,0.875,-0.217984693877551,7
118,0.5625,-0.48596938775510207,9
119,0.5,-0.5586734693877551,9
120,0.625,-0.41875,6
121,0.5,-0.5389030612244898,7
122,0.6875,-0.3880615234375,12
123,1.0,-0.08494897959183674,1
124,0.0,-1.0,8
125,0.8125,-0.24885204081632653,9
126,0.25,-0.8794642857142857,5
127,0.8125,-0.2839285714285714,6
128,0.125,-0.8843112244897959,7
129,1.0,-0.11632653061224489,2
130,1.0,-0.06913265306122449,1
131,0.0625,-0.939795918367347,7
132,0.0625,-0.9414540816326531,9
133,1.0,-0.1371173469387755,3
134,0.0625,-0.942138671875,5
135,0.125,-0.8863520408163266,8
136,0.8125,-0.24821428571428572,4
137,0.875,-0.19056122448979593,8
138,0.875,-0.22283163265306122,6
139,0.0,-1.0,5
140,0.8125,-0.25790816326530613,5
141,0.8125,-0.269515306122449,4
142,0.5,-0.525390625,5
143,0.0,-1.0,10
144,0.1875,-0.8190051020408163,8
145,0.0625,-0.9487244897959184,9
146,0.375,-0.6623724489795918,7
147,1.0,-0.09885204081632654,1
148,0.4375,-0.5891581632653061,5
149,0.5625,-0.49502551020408164,8
150,0.25,-0.760969387755102,8
151,0.5625,-0.47410714285714284,5
152,0.875,-0.2059948979591837,7
153,0.25,-0.7621173469387755,11
154,0.1875,-0.8295918367346938,5
155,0.6875,-0.36007653061224487,7
156,0.0625,-0.9441326530612245,6
157,0.6875,-0.367984693877551,7
158,0.9375,-0.21044921875,9
159,0.4375,-0.5913265306122449,12
160,0.0625,-0.9446428571428571,5
161,0.875,-0.23112244897959183,5
162,0.625,-0.4119897959183674,8
163,0.25,-0.7646683673469388,14
164,0.6875,-0.3528061224489796,11
165,0.0625,-0.939795918367347,8
166,0.0,-1.0,8
167,1.0,-0.0951530612244898,0
168,0.75,-0.3051020408163265,4
169,1.0,-0.7215561224489796,5
170,0.5625,-0.48558673469387753,2
171,0.1875,-0.8209183673469388,8
172,0.125,-0.882780612244898,8
173,0.25,-0.7653061224489796,9
174,0.5,-0.5286989795918368,4
175,0.875,-0.18290816326530612,0
176,0.1875,-0.8309948979591837,8
177,0.5,-0.5530612244897959,8
178,0.0625,-0.9415816326530613,10
179,0.375,-0.6450255102040816,5
180,0.75,-0.37295918367346936,10
181,0.8125,-0.25089285714285714,8
182,0.0,-1.0,7
183,0.5625,-0.47079081632653064,9
184,0.3125,-0.7082908163265306,6
185,0.5625,-0.4911989795918367,5
186,0.875,-0.21160714285714285,7
187,0.0,-1.0,11
188,0.4375,-0.5950255102040817,6
189,0.75,-0.3081632653061224,6
190,0.5625,-0.4813775510204082,11
191,0.0,-1.0,5
192,0.375,-0.6466064453125,9
193,0.1875,-0.8317602040816326,6
194,0.375,-0.6559948979591836,8
195,0.125,-0.8817602040816327,5
196,0.0,-1.0,11
197,1.0,-0.11517857142857142,3
198,0.8125,-0.25535714285714284,9
199,0.3125,-0.7284438775510204,5
