,pc,returns,malfs
0,1.0,-0.079833984375,0
1,1.0,-0.14107142857142857,1
2,1.0,-0.11313775510204081,0
3,1.0,-0.1683673469387755,3
4,1.0,-0.10089285714285715,2
5,0.375,-0.6417091836734694,12
6,1.0,-0.10880102040816327,1
7,1.0,-0.12678571428571428,2
8,1.0,-0.104248046875,2
9,1.0,-0.26160714285714287,5
10,1.0,-0.14158163265306123,1
11,1.0,-0.20625,2
12,1.0,-0.07946428571428571,0
13,1.0,-0.1649234693877551,0
14,1.0,-0.12869897959183674,2
15,1.0,-0.14107142857142857,3
16,1.0,-0.24910714285714286,8
17,1.0,-0.08252551020408164,2
18,1.0,-0.155484693877551,1
19,1.0,-0.12091836734693878,2
