,pc,returns,malfs
0,0.953125,-0.43942335873388044,43
1,0.875,-0.3503260550996483,49
2,0.765625,-0.5024362543962485,43
3,0.875,-0.5024362543962485,61
4,0.984375,-0.4165445486518171,52
5,0.765625,-0.49124413833528724,48
6,0.5625,-0.5518390973036342,50
7,0.359375,-0.655700468933177,51
8,1.0,-0.38109979484173506,51
9,0.453125,-0.608440797186401,50
10,0.5625,-0.5799201348182884,43
11,0.765625,-0.4930392731535756,57
12,0.65625,-0.5150571512309496,60
13,0.84375,-0.44021101992966,40
14,0.5,-0.5728495017584995,62
15,1.0,-0.4417313892145369,44
16,1.0,-0.40661635404454866,45
17,0.9375,-0.3376318874560375,59
18,0.421875,-0.6175630128956624,58
19,0.59375,-0.5360675556858148,56
20,0.9375,-0.4431052168815944,46
21,0.84375,-0.4500842614302462,45
22,1.0,-0.28555466002344665,41
23,0.71875,-0.5685082063305978,43
24,0.375,-0.6490145076201641,66
25,0.890625,-0.4571365767878077,59
26,0.65625,-0.45371116647127785,44
27,1.0,-0.316438305978898,37
28,1.0,-0.2878077373974209,44
29,0.4375,-0.6144673212192263,57
30,0.6875,-0.525406652989449,42
31,0.859375,-0.408832796014068,48
32,0.734375,-0.4613496483001172,59
33,0.296875,-0.7166434642438453,50
34,0.28125,-0.7348329425556858,54
35,0.828125,-0.5073453985932005,59
36,0.640625,-0.6097963071512309,56
37,0.734375,-0.42500732708089095,52
38,0.984375,-0.343072245017585,33
39,0.703125,-0.6041727725674091,52
40,0.84375,-0.47517951348182885,56
41,1.0,-0.2657349062133646,27
42,0.90625,-0.45297845838218054,47
43,0.921875,-0.43786635404454866,51
44,0.96875,-0.40216515240328254,52
45,0.484375,-0.5653026084407972,51
46,0.3125,-0.7181638335287222,49
47,0.453125,-0.6026890386869871,47
48,1.0,-0.357469958968347,56
49,1.0,-0.3405444021101993,54
50,0.421875,-0.6537404747948418,50
51,0.5625,-0.5123094958968347,55
52,0.984375,-0.38188745603751467,51
53,0.640625,-0.46602066236811257,51
54,0.46875,-0.5836386283704572,45
55,0.390625,-0.644435082063306,56
56,0.65625,-0.5013188745603752,55
57,0.984375,-0.4357598182883939,55
58,0.671875,-0.4689881301289566,46
59,0.609375,-0.510715855803048,57
60,0.4375,-0.6330964243845252,62
61,0.65625,-0.5091771688159438,52
62,0.703125,-0.5155517291910903,68
63,0.90625,-0.38458015826494724,60
64,0.578125,-0.5341441969519344,61
65,1.0,-0.3423578546307151,32
66,0.921875,-0.3688818874560375,54
67,0.28125,-0.7465745896834701,51
68,0.484375,-0.6026524032825322,47
69,0.765625,-0.39615694607268465,49
70,0.75,-0.5772091148886284,64
71,0.875,-0.45922479484173506,42
72,0.25,-0.765075468933177,63
73,0.875,-0.5431748241500586,57
74,0.734375,-0.47591222157092616,50
75,0.890625,-0.4347340269636577,42
76,0.765625,-0.5251318874560376,54
77,0.859375,-0.3558946365767878,61
78,0.984375,-0.4104630715123095,54
79,0.9375,-0.4137785756154748,46
80,0.78125,-0.41533558030480655,53
81,0.828125,-0.5429916471277842,60
82,0.1875,-0.8249377198124267,54
83,0.875,-0.4097486811254396,50
84,1.0,-0.3446475674091442,38
85,1.0,-0.203125,44
86,0.90625,-0.4021468347010551,58
87,0.6875,-0.5961862543962485,48
88,0.1875,-0.81999194021102,48
89,0.703125,-0.5382473622508792,53
90,0.8125,-0.4047479484173505,51
91,0.8125,-0.5121995896834701,51
92,0.828125,-0.5080414712778429,44
93,0.71875,-0.5106975381008206,56
94,0.984375,-0.4365474794841735,67
95,0.859375,-0.38514800703399765,53
96,0.78125,-0.5028941969519344,44
97,0.78125,-0.5528648886283705,55
98,0.9375,-0.3923102286049238,53
99,0.28125,-0.7327813599062134,49
100,1.0,-0.3358550703399766,49
101,0.984375,-0.37001758499413834,47
102,0.46875,-0.6210067409144197,65
103,0.953125,-0.35463071512309496,60
104,0.953125,-0.37780260844079716,53
105,0.890625,-0.4162514654161782,38
106,0.5,-0.5734173505275498,51
107,0.4375,-0.6037331477139508,43
108,0.78125,-0.5608697245017585,39
109,0.328125,-0.6953033411488863,46
110,0.59375,-0.4984246776084408,54
111,0.859375,-0.47061840562719814,49
112,0.734375,-0.510331184056272,57
113,0.46875,-0.5786195779601406,52
114,0.9375,-0.3904601406799531,59
115,0.84375,-0.48930246189917936,52
116,0.3125,-0.7110932004689332,52
117,1.0,-0.31541251465416176,54
118,0.78125,-0.488313305978898,47
119,0.671875,-0.4704169109026964,62
120,0.640625,-0.6153099355216881,56
121,1.0,-0.33904235052754983,45
122,0.265625,-0.7575468933177022,49
123,0.734375,-0.5181711606096131,54
124,0.90625,-0.5121629542790153,44
125,0.6875,-0.47343933177022274,52
126,0.515625,-0.5825395662368112,58
127,0.59375,-0.49197684642438455,55
128,0.25,-0.7765423505275498,49
129,0.453125,-0.6328399765533411,60
