,pc,returns,malfs
0,1.0,-0.2912326388888889,17
1,1.0,-0.3060980902777778,14
2,1.0,-0.3221028645833333,11
3,0.875,-0.2846137152777778,16
4,1.0,-0.26904296875,13
5,1.0,-0.2906358506944444,9
6,1.0,-0.3390842013888889,17
7,0.78125,-0.3885091145833333,16
8,0.84375,-0.26669807370184256,21
9,1.0,-0.3077256944444444,18
10,1.0,-0.3192274305555556,13
11,1.0,-0.22639973958333334,9
12,1.0,-0.2201605902777778,13
13,0.8125,-0.3912217881944444,24
14,1.0,-0.22591145833333334,10
15,1.0,-0.39013671875,18
16,1.0,-0.14138400335008375,2
17,1.0,-0.2372504340277778,17
18,1.0,-0.2978515625,8
19,1.0,-0.2962782118055556,12
20,1.0,-0.20482621440536014,4
21,1.0,-0.1941189236111111,5
22,1.0,-0.2201605902777778,13
23,0.90625,-0.2938368055555556,14
24,1.0,-0.2317165798611111,13
25,1.0,-0.2426215277777778,18
26,1.0,-0.3328450520833333,23
27,1.0,-0.3678927951388889,22
28,1.0,-0.22569444444444445,10
29,1.0,-0.3253580729166667,25
30,1.0,-0.3376193576388889,14
31,1.0,-0.2625868055555556,9
32,1.0,-0.3152126736111111,13
33,0.8125,-0.3122829861111111,18
34,1.0,-0.3190646701388889,11
35,0.84375,-0.2935112847222222,21
36,0.96875,-0.4186740451388889,16
37,1.0,-0.23323567708333334,7
38,1.0,-0.2995876736111111,10
39,0.625,-0.5074327256944444,14
40,1.0,-0.24235026041666666,14
41,1.0,-0.3148871527777778,14
42,1.0,-0.15342336683417085,2
43,0.375,-0.6634114583333334,22
44,1.0,-0.25830078125,10
45,1.0,-0.2964952256944444,18
46,1.0,-0.1711697048611111,4
47,1.0,-0.3006727430555556,14
48,1.0,-0.4417860243055556,17
49,0.90625,-0.2341579861111111,18
50,1.0,-0.23524305555555555,18
51,1.0,-0.36181640625,8
52,1.0,-0.2140842013888889,8
53,0.5,-0.5692274305555556,19
54,1.0,-0.4637586805555556,18
55,1.0,-0.2535807291666667,20
56,1.0,-0.3711480034722222,15
57,1.0,-0.3854166666666667,15
58,1.0,-0.2617730034722222,10
59,1.0,-0.4299587673611111,10
60,0.5625,-0.4962022569444444,21
61,1.0,-0.3261176215277778,12
62,0.5,-0.5695529513888888,17
63,0.6875,-0.4300130208333333,13
64,1.0,-0.4138997395833333,14
65,1.0,-0.20670572916666666,6
66,0.78125,-0.3773871527777778,15
67,1.0,-0.23307291666666666,12
68,1.0,-0.3164605034722222,22
69,1.0,-0.15055338541666666,8
70,1.0,-0.21641710069444445,6
71,1.0,-0.3738606770833333,19
72,1.0,-0.2584635416666667,11
73,1.0,-0.3915473090277778,18
74,1.0,-0.2378472222222222,10
75,1.0,-0.2158745659722222,13
76,1.0,-0.2630750868055556,11
77,1.0,-0.3417426215277778,13
78,1.0,-0.2847222222222222,8
79,1.0,-0.3478732638888889,12
80,1.0,-0.4735243055555556,19
81,1.0,-0.3140733506944444,10
82,1.0,-0.3314887152777778,18
83,1.0,-0.4227973090277778,15
84,1.0,-0.3716362847222222,18
85,1.0,-0.2429857621440536,9
86,0.84375,-0.4646267361111111,20
87,1.0,-0.3575303819444444,20
88,1.0,-0.2964952256944444,9
89,1.0,-0.2625325520833333,9
90,1.0,-0.2565646701388889,15
91,0.9375,-0.4433051215277778,20
92,0.8125,-0.3272569444444444,24
93,1.0,-0.4107530381944444,18
94,1.0,-0.2789171006944444,11
95,1.0,-0.2568359375,18
96,0.8125,-0.3714735243055556,19
97,0.875,-0.3147786458333333,19
98,1.0,-0.16731770833333334,8
99,1.0,-0.3765190972222222,13
100,1.0,-0.2792426215277778,8
101,1.0,-0.2429470486111111,13
102,0.5625,-0.5149197048611112,18
103,1.0,-0.3714735243055556,15
104,1.0,-0.2900933159722222,15
105,0.9375,-0.3317599826388889,17
106,1.0,-0.3837348090277778,16
107,1.0,-0.2393120659722222,13
108,1.0,-0.3487413194444444,20
109,1.0,-0.1369900173611111,8
110,1.0,-0.3004014756944444,17
111,0.4375,-0.6113823784722222,17
112,1.0,-0.14609505862646566,5
113,1.0,-0.2586805555555556,6
114,0.75,-0.37353515625,20
115,1.0,-0.3434787326388889,11
116,1.0,-0.19395616319444445,7
117,1.0,-0.3552517361111111,12
118,1.0,-0.2969835069444444,13
119,1.0,-0.2758246527777778,17
120,1.0,-0.2160373263888889,19
121,0.5625,-0.5164930555555556,16
122,1.0,-0.2492947048611111,12
123,1.0,-0.3253580729166667,7
124,0.78125,-0.4347330729166667,20
125,1.0,-0.23546006944444445,9
126,1.0,-0.3466254340277778,13
127,1.0,-0.3155381944444444,14
128,1.0,-0.20621744791666666,9
129,1.0,-0.3604600694444444,13
130,1.0,-0.2966037326388889,14
131,1.0,-0.3846028645833333,15
132,1.0,-0.3892144097222222,16
133,0.8125,-0.3688693576388889,23
134,0.96875,-0.39208984375,20
135,1.0,-0.2854817708333333,15
136,1.0,-0.3522135416666667,16
137,0.78125,-0.34423828125,12
138,1.0,-0.2565646701388889,14
139,0.375,-0.6654730902777778,20
140,1.0,-0.19102647569444445,8
141,1.0,-0.29541015625,8
142,1.0,-0.4104275173611111,17
143,1.0,-0.3592664930555556,15
144,1.0,-0.1897243923611111,9
145,1.0,-0.3433159722222222,15
