,pc,returns,malfs
0,1.0,-0.12346938775510204,2
1,1.0,-0.18112244897959184,6
2,1.0,-0.11862244897959184,0
3,1.0,-0.11376953125,2
4,1.0,-0.2573979591836735,4
5,1.0,-0.12346938775510204,6
6,1.0,-0.17946428571428572,1
7,1.0,-0.12308673469387756,1
8,1.0,-0.14642857142857144,1
9,0.4375,-0.5816326530612245,7
10,1.0,-0.2552295918367347,6
11,1.0,-0.0889030612244898,0
12,1.0,-0.09285714285714286,2
13,1.0,-0.14017857142857143,2
14,1.0,-0.07895408163265306,0
15,1.0,-0.15306122448979592,5
16,0.625,-0.4417091836734694,8
17,1.0,-0.16811224489795917,2
18,1.0,-0.10009765625,1
19,1.0,-0.1548469387755102,4
20,1.0,-0.1225765306122449,2
21,1.0,-0.10459183673469388,0
22,1.0,-0.15663265306122448,1
23,1.0,-0.10573979591836735,0
24,1.0,-0.08061224489795918,0
25,0.8125,-0.3266581632653061,6
26,0.9375,-0.1788265306122449,10
27,1.0,-0.27729591836734696,8
28,1.0,-0.17665816326530612,6
29,1.0,-0.24170918367346939,8
30,1.0,-0.14566326530612245,2
31,1.0,-0.14923469387755103,3
32,1.0,-0.09196428571428572,1
33,0.9375,-0.21581632653061225,7
34,1.0,-0.17729591836734693,4
35,1.0,-0.10140306122448979,2
36,1.0,-0.13890306122448978,2
37,1.0,-0.1883544921875,2
38,1.0,-0.12971938775510203,1
39,1.0,-0.29948979591836733,5
40,1.0,-0.23405612244897958,6
41,1.0,-0.15446428571428572,1
42,0.9375,-0.19668367346938775,10
43,1.0,-0.10127551020408163,1
44,1.0,-0.08494897959183674,0
45,1.0,-0.09107142857142857,1
46,1.0,-0.09326171875,2
47,1.0,-0.16466836734693877,1
48,1.0,-0.2343112244897959,4
49,1.0,-0.11517857142857142,2
50,1.0,-0.15255102040816326,0
51,0.375,-0.6432397959183673,3
52,1.0,-0.1357142857142857,4
53,1.0,-0.12142857142857143,2
54,1.0,-0.29757653061224487,3
55,1.0,-0.1306122448979592,3
56,1.0,-0.06787109375,1
57,0.875,-0.3405612244897959,9
58,1.0,-0.19783163265306122,3
59,1.0,-0.1540816326530612,4
60,1.0,-0.12665816326530613,1
61,1.0,-0.1308673469387755,1
62,1.0,-0.16785714285714284,1
63,1.0,-0.14438775510204083,6
64,1.0,-0.10586734693877552,2
65,1.0,-0.11530612244897959,4
66,1.0,-0.11479591836734694,1
67,1.0,-0.15229591836734693,1
68,1.0,-0.19706632653061223,4
69,1.0,-0.0985969387755102,1
70,1.0,-0.18647959183673468,5
71,1.0,-0.15510204081632653,3
72,1.0,-0.18864795918367347,3
73,1.0,-0.1704081632653061,2
74,1.0,-0.16747448979591836,2
75,1.0,-0.29502551020408163,2
76,1.0,-0.14834183673469387,2
77,1.0,-0.1082763671875,1
78,1.0,-0.15612244897959185,3
79,1.0,-0.10918367346938776,0
80,1.0,-0.15357142857142858,2
81,1.0,-0.13941326530612244,4
82,1.0,-0.13890306122448978,4
83,1.0,-0.12971938775510203,1
84,0.875,-0.24948979591836734,5
85,1.0,-0.21709183673469387,3
86,0.5625,-0.4725765306122449,3
87,0.1875,-0.8239795918367347,7
88,1.0,-0.2766581632653061,3
89,1.0,-0.19196428571428573,3
90,0.8125,-0.29068877551020406,8
91,0.625,-0.4663265306122449,10
92,1.0,-0.17831632653061225,4
93,1.0,-0.14017857142857143,4
94,1.0,-0.2746173469387755,7
95,1.0,-0.21262755102040817,8
96,1.0,-0.09693877551020408,0
97,1.0,-0.13954081632653062,2
98,1.0,-0.1225765306122449,1
99,1.0,-0.22607421875,4
100,1.0,-0.16989795918367348,4
101,1.0,-0.12551020408163266,0
102,1.0,-0.1711734693877551,5
103,1.0,-0.0906982421875,0
104,1.0,-0.11811224489795918,3
105,1.0,-0.12908163265306122,2
106,1.0,-0.12691326530612246,0
107,1.0,-0.10012755102040816,0
108,1.0,-0.11186224489795918,4
109,1.0,-0.17219387755102042,1
110,1.0,-0.1653061224489796,3
111,1.0,-0.16823979591836735,2
112,0.375,-0.6521683673469387,12
113,1.0,-0.14362244897959184,1
114,1.0,-0.1377551020408163,0
115,1.0,-0.12755102040816327,1
116,0.75,-0.35956632653061227,9
117,1.0,-0.1571044921875,1
118,1.0,-0.18762755102040815,5
119,0.75,-0.33214285714285713,12
120,1.0,-0.1182861328125,3
121,1.0,-0.11543367346938775,0
122,1.0,-0.2284438775510204,3
123,1.0,-0.16122448979591836,5
124,1.0,-0.14885204081632653,2
125,0.9375,-0.21926020408163266,7
126,1.0,-0.18788265306122448,3
127,1.0,-0.0626220703125,2
128,1.0,-0.20012755102040816,0
129,1.0,-0.10688775510204082,4
130,1.0,-0.29349489795918365,7
131,1.0,-0.14183673469387756,7
132,1.0,-0.12091836734693878,0
133,1.0,-0.2409438775510204,10
134,1.0,-0.1824951171875,5
135,1.0,-0.18558673469387754,4
136,1.0,-0.1903061224489796,5
137,1.0,-0.23418367346938776,6
138,0.875,-0.23201530612244897,10
139,0.875,-0.2558673469387755,5
140,1.0,-0.1850765306122449,1
141,0.4375,-0.6121173469387755,7
142,1.0,-0.11811224489795918,1
143,0.8125,-0.29604591836734695,4
144,1.0,-0.3706632653061224,4
145,1.0,-0.10892857142857143,2
146,0.875,-0.23035714285714284,5
147,0.375,-0.6653061224489796,7
148,1.0,-0.18788265306122448,1
149,1.0,-0.09846938775510204,2
150,1.0,-0.16887755102040816,6
151,1.0,-0.13903061224489796,4
152,1.0,-0.22793367346938775,2
153,1.0,-0.3934948979591837,5
154,1.0,-0.1114795918367347,0
155,0.9375,-0.21326530612244898,3
156,1.0,-0.12997448979591836,2
157,1.0,-0.16823979591836735,4
158,1.0,-0.14170918367346938,2
159,1.0,-0.08251953125,0
160,1.0,-0.21823979591836734,1
161,1.0,-0.18571428571428572,2
162,0.75,-0.3093112244897959,10
163,0.625,-0.4316326530612245,9
164,1.0,-0.11964285714285715,2
