,pc,returns,malfs
0,0.953125,-0.3953509671746776,51
1,0.9375,-0.34900718053927315,42
2,0.90625,-0.453125,64
3,0.84375,-0.4810411781946073,49
4,0.46875,-0.5951238276670574,66
5,0.640625,-0.5022713950762017,49
6,0.6875,-0.5291984173505275,48
7,1.0,-0.3164566236811254,61
8,0.828125,-0.5134818288393904,50
9,0.84375,-0.5182444314185228,53
10,0.8125,-0.38058689917936694,51
11,0.5,-0.5584151524032825,50
12,0.84375,-0.4026963657678781,55
13,0.875,-0.3504176436107855,54
14,0.78125,-0.4841551875732708,53
15,1.0,-0.3874743552168816,47
16,0.90625,-0.5179330304806565,57
17,0.984375,-0.4849428487690504,56
18,0.921875,-0.3579095838218054,63
19,0.859375,-0.41262456037514655,49
20,0.9375,-0.4359796307151231,58
21,0.359375,-0.6903575615474795,54
22,0.9375,-0.46455524618991795,55
23,0.71875,-0.5269087045720985,60
24,0.875,-0.46781579718640093,52
25,0.875,-0.45449882766705746,54
26,0.9375,-0.4287258206330598,59
27,1.0,-0.4260331184056272,44
28,0.84375,-0.39577227432590856,39
29,0.59375,-0.5000732708089097,46
30,0.953125,-0.31028355803048063,60
31,0.515625,-0.5968090562719812,58
32,1.0,-0.33433470105509966,39
33,0.140625,-0.8660792790152403,43
34,0.953125,-0.3279601406799531,53
35,0.84375,-0.44035756154747946,55
36,0.859375,-0.416581184056272,50
37,0.984375,-0.3531286635404455,51
38,0.515625,-0.5373681125439624,48
39,0.703125,-0.5377894196951934,58
40,0.796875,-0.5232085287221571,55
41,0.78125,-0.4317116060961313,58
42,0.28125,-0.7516852286049238,53
43,1.0,-0.2967650937866354,28
44,0.6875,-0.40498607854630714,47
45,0.703125,-0.43914859320046895,42
46,0.8125,-0.4478861371629543,50
47,0.609375,-0.4597560082063306,41
48,0.828125,-0.4059752344665885,41
49,1.0,-0.3655663833528722,46
50,0.390625,-0.6471094665885111,55
51,1.0,-0.42385331184056274,48
52,0.796875,-0.48670134818288396,49
53,0.921875,-0.43156506447831183,59
54,0.9375,-0.3296270515826495,59
55,1.0,-0.2716881594372802,32
56,1.0,-0.3345728311840563,49
57,0.453125,-0.6016449296600235,63
58,0.921875,-0.37598915592028137,59
59,0.96875,-0.4103714830011723,50
60,0.84375,-0.42617966002344665,49
61,0.515625,-0.5725564185228605,46
62,0.953125,-0.4527769636576788,50
63,0.921875,-0.45895002930832357,55
64,0.8125,-0.5367269929660023,50
65,0.203125,-0.8052645076201641,51
66,0.921875,-0.38238203399765536,66
67,0.921875,-0.42150864595545134,49
68,0.28125,-0.7433689917936694,51
69,0.09375,-0.9106645662368112,52
70,0.46875,-0.590361225087925,51
71,0.84375,-0.4069643903868699,52
72,0.96875,-0.4134854923798359,47
73,0.734375,-0.39427022274325907,52
74,0.921875,-0.44816090269636577,60
75,0.953125,-0.3697245017584994,55
76,0.734375,-0.37186767291910905,47
77,0.9375,-0.41925556858147717,41
78,1.0,-0.28751465416178196,45
79,0.703125,-0.45158631301289565,50
80,0.984375,-0.4065247655334115,49
81,0.9375,-0.3466258792497069,53
82,0.890625,-0.5359210140679953,61
83,0.8125,-0.46158777842907384,60
84,0.703125,-0.40249487104337633,52
85,0.84375,-0.3734246776084408,48
86,0.453125,-0.6026890386869871,69
87,0.953125,-0.2503480363423212,42
88,0.984375,-0.42398153575615477,55
89,0.421875,-0.6402220105509965,46
90,0.96875,-0.3555466002344666,58
91,0.515625,-0.6049970691676436,60
92,0.890625,-0.47607708089097306,55
93,1.0,-0.24661122508792496,33
