,pc,returns,malfs
0,1.0,-0.3527560763888889,14
1,1.0,-0.25,9
2,1.0,-0.2509223090277778,9
3,1.0,-0.3270399305555556,9
4,1.0,-0.3075629340277778,11
5,0.625,-0.4655490451388889,12
6,1.0,-0.2339409722222222,10
7,1.0,-0.23670789930555555,11
8,1.0,-0.24593098958333334,16
9,1.0,-0.18650544388609716,10
10,0.96875,-0.3559027777777778,22
11,1.0,-0.2833658854166667,11
12,1.0,-0.2932942708333333,15
13,0.40625,-0.6502278645833334,11
14,1.0,-0.39453125,14
15,1.0,-0.24598524305555555,15
16,1.0,-0.16227213541666666,8
17,1.0,-0.4103732638888889,11
18,1.0,-0.24207899305555555,9
19,1.0,-0.3590494791666667,12
20,1.0,-0.22526041666666666,12
21,0.84375,-0.4281141493055556,18
22,1.0,-0.2659505208333333,12
23,0.90625,-0.2500542534722222,20
24,0.96875,-0.3985460069444444,18
25,1.0,-0.2808159722222222,15
26,1.0,-0.22960069444444445,9
27,1.0,-0.2900390625,16
28,0.84375,-0.2970377604166667,16
29,1.0,-0.2087131076388889,13
30,1.0,-0.2536349826388889,11
31,1.0,-0.23828125,7
32,0.84375,-0.2945963541666667,18
33,0.90625,-0.3459201388888889,22
34,1.0,-0.376953125,17
35,0.625,-0.4662000868055556,17
36,1.0,-0.2617730034722222,8
37,0.8125,-0.2882486979166667,12
38,1.0,-0.2826605902777778,15
39,1.0,-0.2736002604166667,12
40,1.0,-0.19140625,8
41,1.0,-0.2434353298611111,14
42,0.96875,-0.18408203125,19
43,1.0,-0.18055555555555555,9
44,1.0,-0.24723307291666666,11
45,1.0,-0.390625,16
46,1.0,-0.24669053819444445,10
47,1.0,-0.2753363715277778,13
48,1.0,-0.21891276041666666,13
49,0.71875,-0.3954535590277778,12
50,1.0,-0.1806640625,7
51,1.0,-0.2911783854166667,17
52,0.5,-0.5546332465277778,16
53,0.375,-0.6903211805555556,17
54,1.0,-0.3180881076388889,10
55,0.96875,-0.16834852430555555,18
56,0.9375,-0.19624162479061977,21
57,1.0,-0.3263346354166667,21
58,1.0,-0.2248806423611111,12
59,1.0,-0.3327365451388889,16
60,1.0,-0.3177625868055556,10
61,0.84375,-0.4662543402777778,17
62,1.0,-0.2358940972222222,9
63,1.0,-0.2838541666666667,8
64,1.0,-0.2510308159722222,9
65,1.0,-0.3000217013888889,12
66,1.0,-0.24397786458333334,14
67,1.0,-0.2681749131944444,11
68,1.0,-0.3753797743055556,14
69,1.0,-0.14111328125,12
