,pc,returns,malfs
0,1.0,-0.1391581632653061,2
1,0.9375,-0.16875,9
2,0.6875,-0.3846938775510204,4
3,0.75,-0.34885204081632654,11
4,0.5625,-0.47385204081632654,7
5,1.0,-0.2892857142857143,8
6,1.0,-0.16645408163265307,3
7,1.0,-0.09668367346938775,1
8,1.0,-0.09719387755102041,1
9,1.0,-0.1639030612244898,2
10,1.0,-0.0947704081632653,0
11,1.0,-0.11441326530612245,2
12,1.0,-0.21084183673469387,3
13,0.5,-0.5321428571428571,5
14,1.0,-0.20433673469387756,1
15,1.0,-0.14234693877551022,3
16,1.0,-0.12818877551020408,3
17,1.0,-0.21084183673469387,2
18,1.0,-0.18125,3
19,1.0,-0.12155612244897959,4
20,1.0,-0.09910714285714285,2
21,1.0,-0.13979591836734695,2
22,1.0,-0.12512755102040815,1
23,1.0,-0.14030612244897958,1
24,0.375,-0.6503826530612244,4
25,1.0,-0.11071428571428571,1
26,1.0,-0.0660400390625,1
27,1.0,-0.1104591836734694,3
28,0.9375,-0.28762755102040816,8
29,1.0,-0.08303571428571428,3
30,1.0,-0.1306122448979592,2
31,1.0,-0.31186224489795916,5
32,1.0,-0.23392857142857143,6
33,1.0,-0.19362244897959183,1
34,1.0,-0.23520408163265305,5
35,1.0,-0.1,5
36,0.6875,-0.38392857142857145,4
37,1.0,-0.1746173469387755,2
38,1.0,-0.14885204081632653,1
39,1.0,-0.26823979591836733,6
40,1.0,-0.18788265306122448,2
41,0.3125,-0.6991071428571428,6
42,1.0,-0.2552295918367347,7
43,1.0,-0.11594387755102041,1
44,1.0,-0.2,5
45,1.0,-0.08903061224489796,2
46,1.0,-0.1781887755102041,1
47,1.0,-0.09209183673469387,2
48,1.0,-0.11173469387755101,2
49,1.0,-0.18571428571428572,3
50,1.0,-0.3309948979591837,4
51,1.0,-0.1711734693877551,3
52,1.0,-0.21772959183673468,7
53,0.6875,-0.38392857142857145,5
54,1.0,-0.1014404296875,2
55,1.0,-0.15369897959183673,0
56,1.0,-0.13035714285714287,0
57,1.0,-0.249234693877551,8
58,0.6875,-0.36887755102040815,6
59,1.0,-0.31020408163265306,4
60,1.0,-0.14145408163265305,2
61,0.6875,-0.37895408163265304,8
62,1.0,-0.11454081632653061,6
63,1.0,-0.12346938775510204,1
64,1.0,-0.11767578125,3
65,1.0,-0.1451530612244898,1
66,1.0,-0.14528061224489797,1
67,1.0,-0.14311224489795918,0
68,1.0,-0.15076530612244898,2
69,1.0,-0.14081632653061224,1
70,1.0,-0.24693877551020407,3
71,1.0,-0.1778061224489796,1
72,1.0,-0.1784438775510204,0
73,1.0,-0.20816326530612245,3
74,1.0,-0.2110969387755102,6
75,1.0,-0.21875,3
76,1.0,-0.14872448979591837,7
77,0.625,-0.4684948979591837,7
78,0.875,-0.24017857142857144,7
79,1.0,-0.12168367346938776,0
80,1.0,-0.1718112244897959,5
81,1.0,-0.2710459183673469,4
82,1.0,-0.15267857142857144,3
83,1.0,-0.075439453125,1
84,0.9375,-0.15752551020408162,10
85,1.0,-0.07028061224489796,1
86,1.0,-0.2610969387755102,3
87,1.0,-0.18112244897959184,2
88,1.0,-0.11581632653061225,3
89,1.0,-0.10205078125,2
90,1.0,-0.2145408163265306,4
91,1.0,-0.1996173469387755,2
92,1.0,-0.20497448979591837,5
93,1.0,-0.16288265306122449,1
94,1.0,-0.1540816326530612,2
95,1.0,-0.10267857142857142,1
96,1.0,-0.12104591836734693,2
97,1.0,-0.13724489795918368,1
98,1.0,-0.07568359375,1
99,1.0,-0.13443877551020408,0
100,0.5625,-0.482666015625,11
101,1.0,-0.08724489795918368,4
102,1.0,-0.2530612244897959,4
103,1.0,-0.19158163265306122,3
104,0.375,-0.6661989795918367,3
105,1.0,-0.1725765306122449,4
106,1.0,-0.11364795918367347,1
107,0.5625,-0.48354591836734695,12
108,1.0,-0.0911865234375,2
109,1.0,-0.14005102040816325,1
110,0.9375,-0.2274234693877551,11
111,0.125,-0.8786989795918367,8
112,1.0,-0.0821533203125,0
113,1.0,-0.1947704081632653,1
114,1.0,-0.14081632653061224,2
115,1.0,-0.0933673469387755,0
116,1.0,-0.128173828125,3
117,1.0,-0.11441326530612245,1
118,1.0,-0.15433673469387754,3
119,1.0,-0.1875,2
120,1.0,-0.11913265306122449,2
121,1.0,-0.1655612244897959,1
122,1.0,-0.13290816326530613,5
123,1.0,-0.188265306122449,2
124,1.0,-0.16084183673469388,2
125,1.0,-0.1399234693877551,4
126,1.0,-0.18801020408163266,2
127,1.0,-0.18125,6
128,1.0,-0.08737244897959184,0
129,1.0,-0.08837890625,2
130,0.875,-0.24948979591836734,8
131,1.0,-0.12410714285714286,0
132,0.3125,-0.7133928571428572,6
133,1.0,-0.09821428571428571,3
134,1.0,-0.12091836734693878,1
135,1.0,-0.15892857142857142,3
136,1.0,-0.23125,4
137,1.0,-0.20535714285714285,1
138,1.0,-0.22665816326530613,7
139,1.0,-0.0877685546875,1
140,1.0,-0.1489795918367347,2
141,1.0,-0.19540816326530613,5
142,1.0,-0.14221938775510204,4
143,1.0,-0.15943877551020408,3
144,0.625,-0.41556122448979593,4
145,1.0,-0.13584183673469388,4
146,1.0,-0.1371173469387755,1
147,1.0,-0.11823979591836735,0
148,1.0,-0.2016581632653061,3
149,1.0,-0.12448979591836734,1
150,0.375,-0.655484693877551,12
151,1.0,-0.22244897959183674,3
152,1.0,-0.13533163265306122,1
153,1.0,-0.16670918367346937,1
154,1.0,-0.2302295918367347,5
155,1.0,-0.16785714285714284,4
156,1.0,-0.13813775510204082,1
157,1.0,-0.14400510204081632,3
158,0.75,-0.32066326530612244,5
159,1.0,-0.29948979591836733,4
160,1.0,-0.2389030612244898,6
161,1.0,-0.10892857142857143,4
162,0.9375,-0.20892857142857144,7
163,0.8125,-0.3960459183673469,12
164,1.0,-0.15012755102040817,3
165,0.8125,-0.3267857142857143,12
166,1.0,-0.1705357142857143,6
167,0.6875,-0.3793367346938776,7
168,1.0,-0.11173469387755101,1
169,0.75,-0.39158163265306123,7
170,1.0,-0.13073979591836735,5
171,0.5625,-0.469482421875,7
172,1.0,-0.2423469387755102,5
173,1.0,-0.12729591836734694,4
174,1.0,-0.17232142857142857,1
175,1.0,-0.1471938775510204,1
176,0.1875,-0.8198979591836735,10
177,1.0,-0.27767857142857144,2
178,1.0,-0.1292091836734694,4
179,1.0,-0.10778061224489796,2
180,1.0,-0.18839285714285714,6
181,0.875,-0.24365234375,9
182,1.0,-0.11772959183673469,3
183,1.0,-0.11556122448979592,1
184,1.0,-0.21466836734693878,7
185,0.875,-0.30318877551020407,6
186,1.0,-0.1853316326530612,1
187,1.0,-0.08290816326530612,0
188,1.0,-0.08456632653061225,1
189,1.0,-0.1378826530612245,5
190,0.75,-0.3503826530612245,8
191,1.0,-0.08251953125,2
192,1.0,-0.16454081632653061,0
193,1.0,-0.17487244897959184,4
194,1.0,-0.1832908163265306,2
195,1.0,-0.11658163265306122,3
196,1.0,-0.16811224489795917,5
197,1.0,-0.15229591836734693,3
198,1.0,-0.1434948979591837,2
199,1.0,-0.16415816326530613,2
200,1.0,-0.15025510204081632,0
201,1.0,-0.1413265306122449,0
202,1.0,-0.1542091836734694,1
203,0.6875,-0.393310546875,8
204,1.0,-0.15216836734693878,3
205,1.0,-0.1235969387755102,1
206,1.0,-0.1475765306122449,2
207,1.0,-0.15982142857142856,5
208,0.875,-0.24209183673469387,13
209,0.75,-0.3419642857142857,7
210,1.0,-0.11875,3
211,1.0,-0.12997448979591836,3
212,1.0,-0.14107142857142857,2
213,1.0,-0.1405612244897959,2
214,1.0,-0.25816326530612244,3
215,1.0,-0.2510204081632653,3
216,1.0,-0.15331632653061225,2
217,1.0,-0.09298469387755103,1
218,1.0,-0.1371173469387755,1
219,1.0,-0.1520408163265306,3
220,1.0,-0.14936224489795918,4
221,1.0,-0.0913265306122449,0
222,1.0,-0.1881377551020408,1
223,1.0,-0.1788265306122449,4
224,0.6875,-0.3673469387755102,5
225,1.0,-0.10205078125,3
226,0.875,-0.21721938775510205,10
227,1.0,-0.13137755102040816,2
228,1.0,-0.12971938775510203,3
229,1.0,-0.22653061224489796,3
230,1.0,-0.2478316326530612,4
231,0.4375,-0.5923469387755103,5
232,0.3125,-0.7021683673469388,6
233,1.0,-0.1239795918367347,1
234,1.0,-0.10242346938775511,0
235,1.0,-0.1655612244897959,2
236,1.0,-0.16428571428571428,3
237,1.0,-0.18380102040816326,1
238,1.0,-0.16938775510204082,0
239,1.0,-0.14119897959183675,0
240,1.0,-0.107421875,1
241,0.4375,-0.5867346938775511,12
242,1.0,-0.10395408163265306,2
243,1.0,-0.11135204081632653,0
244,1.0,-0.18801020408163266,4
245,1.0,-0.24706632653061225,4
246,1.0,-0.14846938775510204,2
247,1.0,-0.3042091836734694,5
248,1.0,-0.1836734693877551,9
249,1.0,-0.18035714285714285,4
250,1.0,-0.16377551020408163,2
251,1.0,-0.18239795918367346,4
252,1.0,-0.1655612244897959,5
253,1.0,-0.15676020408163266,2
254,1.0,-0.16020408163265307,2
255,1.0,-0.11951530612244898,3
256,1.0,-0.11403061224489795,1
257,1.0,-0.19872448979591836,4
258,1.0,-0.15478515625,3
259,1.0,-0.14489795918367346,1
260,1.0,-0.16326530612244897,1
261,1.0,-0.12678571428571428,3
262,1.0,-0.0572509765625,0
263,0.75,-0.30778061224489794,11
264,1.0,-0.09579081632653061,1
265,1.0,-0.10637755102040816,1
266,1.0,-0.16658163265306122,0
267,1.0,-0.10204081632653061,0
268,1.0,-0.16454081632653061,5
269,1.0,-0.1434948979591837,1
270,1.0,-0.12130102040816326,1
271,0.75,-0.37130102040816326,4
272,1.0,-0.1697704081632653,2
273,1.0,-0.1461734693877551,4
274,0.8125,-0.4290816326530612,12
275,1.0,-0.15127551020408164,3
276,1.0,-0.15956632653061226,5
277,0.125,-0.8823979591836735,6
278,1.0,-0.13048469387755102,1
279,1.0,-0.2506103515625,4
280,1.0,-0.06884765625,0
281,1.0,-0.17525510204081632,1
282,0.875,-0.26683673469387753,9
283,0.9375,-0.2713010204081633,3
284,0.875,-0.22308673469387755,8
285,1.0,-0.2364795918367347,3
286,1.0,-0.10637755102040816,3
