,pc,returns,malfs
0,0.6875,-0.48239668815943726,58
1,0.78125,-0.36422919109026963,52
2,0.890625,-0.37256374560375144,63
3,0.75,-0.4139251172332943,42
4,0.875,-0.41555539273153574,38
5,1.0,-0.39527769636576787,54
6,0.8125,-0.4337265533411489,51
7,0.890625,-0.3537148300117233,54
8,1.0,-0.31270149472450176,47
9,0.859375,-0.37091515240328254,53
10,0.9375,-0.4287258206330598,58
11,0.921875,-0.39003883352872215,66
12,1.0,-0.25710726846424387,34
13,0.828125,-0.47712118991793667,60
14,0.71875,-0.5164859320046893,80
15,1.0,-0.36041910902696367,47
16,0.921875,-0.3812280187573271,59
17,0.875,-0.414254835873388,62
18,0.984375,-0.34017804806565066,47
19,0.859375,-0.43724355216881594,48
20,0.625,-0.4672296307151231,68
21,0.953125,-0.4086496189917937,52
22,1.0,-0.24844299531066824,43
23,0.890625,-0.463034876905041,55
24,0.5625,-0.5457393024618992,45
25,0.515625,-0.8422113130128956,50
26,0.875,-0.4019636576787808,66
27,0.765625,-0.44017438452520513,50
28,0.46875,-0.6316310082063306,56
29,0.796875,-0.5061730656506448,55
30,0.96875,-0.3273922919109027,63
31,0.796875,-0.48761723329425555,57
32,0.875,-0.45697171746776083,50
33,1.0,-0.30207722743259086,34
34,0.828125,-0.40344739155920284,55
35,0.96875,-0.4031909437280188,61
36,1.0,-0.23666471277842907,40
37,0.953125,-0.3783338218053927,56
38,1.0,-0.29211239742086753,39
39,1.0,-0.29284510550996484,42
40,0.8125,-0.4388371922626026,55
41,0.765625,-0.4059569167643611,62
42,0.515625,-0.5488166764361079,50
43,1.0,-0.36419255568581477,40
44,0.1875,-0.823637162954279,50
45,0.546875,-0.5341808323563892,50
46,0.9375,-0.38188745603751467,46
47,1.0,-0.3457466295427902,47
48,1.0,-0.19643903868698712,30
49,0.90625,-0.3628553634232122,49
50,1.0,-0.3861188452520516,35
51,0.8125,-0.4693178487690504,57
52,1.0,-0.31085140679953105,27
53,0.859375,-0.4326641266119578,58
54,0.125,-0.88384745017585,58
55,0.796875,-0.4349355216881594,50
56,1.0,-0.3754945779601407,38
57,0.859375,-0.330579572098476,49
58,1.0,-0.2563012895662368,24
59,0.953125,-0.4376099062133646,62
60,0.921875,-0.4054257033997655,52
61,0.75,-0.41060961313012895,42
62,0.40625,-0.6291764361078547,48
63,1.0,-0.2935045427901524,41
64,0.84375,-0.44455231535756157,57
65,1.0,-0.3520112837045721,45
66,0.953125,-0.4051326201641266,52
67,0.890625,-0.4254835873388042,54
68,0.921875,-0.3314588218053927,61
69,1.0,-0.3244065064478312,32
70,0.921875,-0.37481682297772567,48
71,0.625,-0.46605729777256744,62
72,0.875,-0.36041910902696367,44
73,1.0,-0.2475271101992966,34
74,0.515625,-0.5428451055099648,51
75,0.90625,-0.449186694021102,60
76,0.921875,-0.44019270222743256,47
77,0.890625,-0.4149692262602579,46
78,0.890625,-0.3897274325908558,48
79,0.859375,-0.45034070926143027,58
80,0.5625,-0.5144526670574443,48
81,1.0,-0.3712265533411489,38
82,1.0,-0.2315723915592028,38
83,0.65625,-0.48673798358733883,40
84,1.0,-0.2454938452520516,25
85,1.0,-0.3562060375146542,36
86,1.0,-0.4368771981242673,47
87,0.78125,-0.4818105216881594,59
88,1.0,-0.4142914712778429,51
89,1.0,-0.2550740035169988,29
90,0.734375,-0.47704791910902694,53
91,1.0,-0.34704718640093785,47
92,0.703125,-0.526084407971864,66
93,0.25,-0.7750402989449003,71
94,0.4375,-0.6220691676436108,47
95,0.953125,-0.32579865181711604,71
96,0.96875,-0.32838144783118406,42
97,0.46875,-0.5733074443141852,61
98,0.953125,-0.41161708675263775,50
99,1.0,-0.2804257033997655,35
100,0.5,-0.5471864009378663,55
101,1.0,-0.34360345838218054,37
102,0.9375,-0.40082796014067995,54
103,0.921875,-0.44854557444314186,54
104,0.96875,-0.387785756154748,53
105,0.9375,-0.4628516998827667,62
106,0.359375,-0.6738716295427901,77
107,0.890625,-0.4053524325908558,54
108,1.0,-0.3314405041031653,63
109,1.0,-0.2819827080890973,48
110,0.6875,-0.5393097889800703,44
111,0.6875,-0.4250256447831184,51
112,0.890625,-0.3928048065650645,56
113,1.0,-0.31123607854630714,50
114,0.890625,-0.4358697245017585,52
115,0.921875,-0.42189331770222743,60
116,0.234375,-0.7810118698710434,58
117,1.0,-0.3756044841735053,53
118,1.0,-0.23573050996483,32
119,0.296875,-0.7304916471277842,51
120,0.8125,-0.46360272567409144,55
121,0.984375,-0.37564111957796015,70
122,0.484375,-0.573380715123095,62
123,0.90625,-0.36058396834701056,54
124,0.71875,-0.5115401524032825,57
125,0.953125,-0.4064148593200469,50
126,1.0,-0.3632033997655334,47
127,0.78125,-0.4154088511137163,52
128,0.765625,-0.5128773446658851,53
129,0.859375,-0.3733147713950762,64
130,0.421875,-0.6302754982415005,50
131,0.53125,-0.5384305392731535,54
132,1.0,-0.35461239742086753,47
133,0.9375,-0.3401963657678781,54
134,1.0,-0.2724208675263775,50
135,1.0,-0.339262162954279,55
136,0.765625,-0.5848475967174678,48
137,1.0,-0.27077227432590856,39
138,1.0,-0.38188745603751467,45
139,1.0,-0.3493002637749121,43
140,1.0,-0.28262382766705746,47
141,0.546875,-0.5714573563892146,50
142,0.84375,-0.5291434642438453,53
143,0.515625,-0.5591295427901524,44
144,0.890625,-0.3764470984759672,44
145,1.0,-0.3092944021101993,47
146,1.0,-0.3444827080890973,49
147,0.890625,-0.4559459261430246,55
148,1.0,-0.36750805978898005,44
149,1.0,-0.3528722157092614,44
150,1.0,-0.3677095545134818,49
151,0.828125,-0.412093347010551,37
152,0.515625,-0.5665665298944901,47
153,0.875,-0.37996409730363423,50
154,0.9375,-0.4063049531066823,41
155,1.0,-0.31253663540445487,52
156,0.765625,-0.4699223329425557,56
157,0.359375,-0.6773153575615475,55
158,0.765625,-0.48040005861664714,61
159,1.0,-0.2360052754982415,40
160,1.0,-0.42566676436107853,60
161,0.296875,-0.7267548358733881,51
162,1.0,-0.35463071512309496,52
163,0.765625,-0.5240694607268465,51
164,0.9375,-0.39254835873388044,48
165,0.96875,-0.2972047186400938,50
166,1.0,-0.26582649472450176,48
167,1.0,-0.35378810082063306,39
168,0.875,-0.39298798358733883,49
169,0.921875,-0.4316016998827667,49
170,1.0,-0.3007033997655334,44
171,0.859375,-0.48188379249706914,41
172,0.984375,-0.3477066236811254,51
173,1.0,-0.36351480070339975,53
174,0.8125,-0.38291324736225085,57
175,0.65625,-0.44101699882766704,69
176,0.671875,-0.541031652989449,49
177,0.84375,-0.5150388335287222,54
178,0.984375,-0.3590819167643611,50
179,0.890625,-0.3607854630715123,54
180,0.828125,-0.41705744431418523,66
181,1.0,-0.2719079718640094,39
182,0.34375,-0.6799897420867527,57
183,0.734375,-0.4222596717467761,54
184,0.96875,-0.39976553341148885,42
185,0.96875,-0.4176436107854631,56
186,0.953125,-0.41357708089097306,57
187,0.84375,-0.3936657385697538,49
188,1.0,-0.3946732121922626,39
189,1.0,-0.388042203985932,42
190,1.0,-0.2602395955451348,41
191,0.578125,-0.5536891852286049,61
192,0.765625,-0.5027476553341149,46
193,1.0,-0.2654601406799531,34
194,0.890625,-0.42495237397420865,59
195,1.0,-0.3294621922626026,30
196,0.34375,-0.6818031946072685,69
197,0.953125,-0.28868698710433766,43
198,0.5,-0.5586349648300117,44
199,0.9375,-0.42465929073856973,57
