,pc,returns,malfs
0,1.0,-0.2868923611111111,8
1,1.0,-0.3681640625,12
2,1.0,-0.33447265625,7
3,1.0,-0.3464626736111111,16
4,1.0,-0.18983289930555555,10
5,1.0,-0.21630859375,5
6,1.0,-0.146484375,3
7,1.0,-0.24755859375,10
8,1.0,-0.2816840277777778,6
9,1.0,-0.2245551215277778,14
10,0.75,-0.3407118055555556,13
11,1.0,-0.2822808159722222,11
12,1.0,-0.18082682291666666,9
13,1.0,-0.21809895833333334,11
14,0.84375,-0.4750434027777778,17
15,0.84375,-0.3415798611111111,11
16,1.0,-0.2529839409722222,12
17,1.0,-0.3476019965277778,20
18,1.0,-0.2848307291666667,16
19,1.0,-0.18343098958333334,13
20,1.0,-0.13771984924623115,8
21,1.0,-0.3470594618055556,11
22,0.40625,-0.6168077256944444,19
23,1.0,-0.2930230034722222,10
24,1.0,-0.1975368923611111,8
25,0.3125,-0.7041558159722222,15
26,1.0,-0.3643663194444444,8
27,1.0,-0.19986979166666666,6
28,0.84375,-0.4478081597222222,17
29,0.84375,-0.3382703993055556,21
30,1.0,-0.15836588541666666,2
31,1.0,-0.21240234375,10
32,1.0,-0.2507328308207705,13
33,1.0,-0.23692491319444445,14
34,1.0,-0.20751953125,11
35,1.0,-0.1677517361111111,7
36,1.0,-0.24609375,20
37,1.0,-0.1982964409722222,7
38,1.0,-0.20079210069444445,8
39,1.0,-0.3913302951388889,22
40,1.0,-0.2639431423611111,14
41,1.0,-0.3357747395833333,15
42,0.6875,-0.4086371527777778,15
43,1.0,-0.2234157986111111,1
44,1.0,-0.2802191840277778,11
45,1.0,-0.2577039930555556,6
46,1.0,-0.20203993055555555,6
47,0.78125,-0.3627387152777778,13
48,1.0,-0.3158637152777778,9
49,1.0,-0.22412109375,11
50,0.375,-0.6573350694444444,21
51,1.0,-0.24918619791666666,11
52,1.0,-0.2529296875,14
53,1.0,-0.2629665798611111,6
54,1.0,-0.2177191840277778,11
55,0.53125,-0.5500759548611112,13
56,1.0,-0.2806532118055556,15
57,0.28125,-0.7389322916666666,16
58,1.0,-0.24088541666666666,6
59,1.0,-0.2312282986111111,14
60,1.0,-0.2664388020833333,7
61,1.0,-0.19840494791666666,17
62,1.0,-0.2708333333333333,12
63,1.0,-0.2830403645833333,16
64,1.0,-0.18028428819444445,10
65,1.0,-0.2455512152777778,6
66,0.59375,-0.4662543402777778,20
67,1.0,-0.353515625,18
68,1.0,-0.1682400173611111,3
69,1.0,-0.2324761284722222,14
70,1.0,-0.1731228298611111,8
71,0.8125,-0.3259548611111111,21
72,1.0,-0.1962348090277778,7
73,1.0,-0.19227430555555555,8
74,1.0,-0.3019748263888889,7
75,1.0,-0.24424913194444445,6
76,1.0,-0.2725694444444444,12
77,1.0,-0.33837890625,20
78,0.65625,-0.48974609375,19
79,1.0,-0.3473307291666667,16
80,0.96875,-0.4094509548611111,20
81,1.0,-0.2599826388888889,6
82,1.0,-0.197265625,11
83,1.0,-0.2053493923611111,9
84,1.0,-0.24620225694444445,14
85,1.0,-0.3404405381944444,14
86,1.0,-0.17203776041666666,12
87,1.0,-0.18424479166666666,6
88,1.0,-0.2975802951388889,11
89,0.75,-0.390625,16
90,1.0,-0.18663194444444445,8
91,0.875,-0.2851019965277778,16
