,pc,returns,malfs
0,1.0,-0.1832908163265306,5
1,1.0,-0.12372448979591837,1
2,1.0,-0.10943877551020408,2
3,1.0,-0.09540816326530613,3
4,1.0,-0.17933673469387756,3
5,0.0,-1.0,6
6,1.0,-0.11798469387755102,1
7,1.0,-0.1683673469387755,5
8,1.0,-0.14821428571428572,2
9,1.0,-0.16301020408163266,6
10,1.0,-0.12436224489795919,3
11,1.0,-0.14158163265306123,4
12,1.0,-0.18418367346938774,4
13,1.0,-0.1019287109375,0
14,1.0,-0.08762755102040816,2
15,1.0,-0.18571428571428572,4
16,1.0,-0.24910714285714286,6
17,1.0,-0.10051020408163265,2
18,1.0,-0.11454081632653061,5
19,1.0,-0.10229591836734694,2
20,1.0,-0.16811224489795917,2
21,1.0,-0.1854591836734694,2
22,1.0,-0.19017857142857142,4
23,1.0,-0.14234693877551022,1
24,1.0,-0.12806122448979593,1
25,1.0,-0.10025510204081632,1
26,1.0,-0.09540816326530613,1
27,1.0,-0.07946428571428571,1
28,1.0,-0.12767857142857142,3
29,1.0,-0.26645408163265305,5
30,1.0,-0.10739795918367347,1
31,1.0,-0.0958251953125,2
32,1.0,-0.13941326530612244,0
33,1.0,-0.13737244897959183,0
34,1.0,-0.1076530612244898,0
35,1.0,-0.11938775510204082,3
36,1.0,-0.08354591836734694,0
37,1.0,-0.1343112244897959,1
38,1.0,-0.10395408163265306,1
39,1.0,-0.0875,1
40,1.0,-0.26926020408163265,4
41,1.0,-0.14464285714285716,2
42,1.0,-0.07321428571428572,2
43,1.0,-0.1377551020408163,1
44,1.0,-0.22959183673469388,5
45,1.0,-0.09451530612244897,0
46,1.0,-0.09693877551020408,0
47,1.0,-0.2529336734693878,4
48,1.0,-0.06887755102040816,0
49,0.1875,-0.9535714285714286,11
50,1.0,-0.13673469387755102,2
51,1.0,-0.14158163265306123,1
52,1.0,-0.08647959183673469,1
53,1.0,-0.08227040816326531,2
54,1.0,-0.1909438775510204,3
55,1.0,-0.11696428571428572,2
56,1.0,-0.13176020408163266,3
57,1.0,-0.2732142857142857,3
58,1.0,-0.26071428571428573,2
59,1.0,-0.13826530612244897,0
60,1.0,-0.09770408163265307,0
61,1.0,-0.0609130859375,1
62,1.0,-0.1764030612244898,1
63,1.0,-0.0941326530612245,1
64,1.0,-0.08954081632653062,2
65,1.0,-0.0557861328125,0
66,1.0,-0.06913265306122449,1
67,1.0,-0.09043367346938776,1
68,1.0,-0.12142857142857143,1
69,1.0,-0.22206632653061226,4
70,1.0,-0.14872448979591837,2
71,1.0,-0.08954081632653062,1
72,1.0,-0.1125,1
73,1.0,-0.09489795918367347,3
74,1.0,-0.175,7
75,1.0,-0.16823979591836735,4
76,1.0,-0.103515625,0
77,1.0,-0.10471938775510205,3
78,1.0,-0.113525390625,4
79,1.0,-0.09196428571428572,2
80,1.0,-0.18571428571428572,7
81,1.0,-0.10191326530612245,1
82,1.0,-0.10357142857142858,1
83,1.0,-0.1725765306122449,3
84,1.0,-0.12538265306122448,5
