,pc,returns,malfs
0,0.359375,-0.6864375732708089,46
1,0.46875,-0.6246885990621337,46
2,0.15625,-0.8605839683470106,56
3,0.515625,-0.6550593493552169,59
4,0.65625,-0.4300996483001172,67
5,0.734375,-0.4164163247362251,69
6,0.484375,-0.587228898007034,59
7,0.5,-0.5844812426729191,51
8,0.90625,-0.25659437280187575,51
9,0.453125,-0.6105656506447831,47
10,0.84375,-0.6099611664712778,49
11,1.0,-0.22539932590855802,29
12,0.09375,-0.9099868112543963,53
13,0.71875,-0.5168522860492379,63
14,1.0,-0.3903502344665885,40
15,0.71875,-0.42066603165298944,54
16,0.25,-0.7805539273153576,41
17,0.90625,-0.4033008499413834,50
18,0.65625,-0.44365474794841736,62
19,0.0625,-0.9406689624853458,44
20,1.0,-0.3761723329425557,51
21,0.90625,-0.44658558030480655,47
22,1.0,-0.252582796014068,45
23,0.328125,-0.7031433177022274,46
24,0.96875,-0.42557517584994137,62
25,1.0,-0.2295391266119578,36
26,0.953125,-0.4153722157092614,46
27,0.921875,-0.42447611371629546,45
28,1.0,-0.23671966588511137,23
29,1.0,-0.2581696951934349,41
30,0.84375,-0.4231572391559203,60
31,0.75,-0.5089939917936694,61
32,1.0,-0.354209407971864,35
33,0.09375,-0.9102798944900352,62
34,1.0,-0.3326861078546307,44
35,1.0,-0.42295574443141853,47
36,0.875,-0.45193434935521687,61
37,0.84375,-0.44585287221570924,53
38,0.578125,-0.5764947245017585,58
39,0.90625,-0.3577630422039859,54
40,0.84375,-0.38351773153575613,64
41,0.1875,-0.8276670574443142,46
42,1.0,-0.2987067702227433,31
43,1.0,-0.33528722157092616,29
44,1.0,-0.38370090855803046,48
45,0.28125,-0.7520882180539273,73
46,0.921875,-0.4660939331770223,48
47,0.78125,-0.5118698710433763,40
48,0.59375,-0.5274032825322391,54
49,0.953125,-0.3412221570926143,50
50,0.15625,-0.8518281066822978,50
51,0.953125,-0.2235309202813599,56
52,0.140625,-0.8725820633059789,43
53,0.71875,-0.48067482415005863,40
54,0.375,-0.6698966881594373,52
55,0.109375,-0.8958455451348183,52
56,0.390625,-0.6478055392731535,58
57,0.828125,-0.4242746189917937,46
58,0.953125,-0.371061694021102,63
59,0.84375,-0.3065467467760844,59
60,1.0,-0.21314478311840562,26
61,0.109375,-0.8970361957796014,50
62,0.84375,-0.5360492379835874,57
63,0.8125,-0.4862617233294256,57
64,0.921875,-0.46037881008206333,52
65,0.40625,-0.6336276377491208,57
66,0.546875,-0.5440907092614302,56
67,0.578125,-0.5342357854630715,51
68,1.0,-0.27852066236811257,41
69,0.5,-0.6302388628370457,44
70,0.765625,-0.3974758206330598,52
71,0.765625,-0.40306271981242675,57
72,0.875,-0.45680685814771393,46
73,0.9375,-0.41544548651817115,59
74,0.921875,-0.501099062133646,59
75,1.0,-0.30574076787807736,42
76,0.546875,-0.5133719226260258,42
77,0.734375,-0.4073124267291911,50
78,0.890625,-0.49142731535756157,63
79,0.90625,-0.43270076201641267,57
80,0.796875,-0.5182261137162955,58
