,pc,returns,malfs
0,0.625,-0.4608289930555556,25
1,1.0,-0.2795681423611111,12
2,1.0,-0.408203125,12
3,1.0,-0.2803276909722222,9
4,1.0,-0.2554253472222222,12
5,1.0,-0.1848415798611111,12
6,1.0,-0.13671875,2
7,1.0,-0.2006293402777778,12
8,1.0,-0.2453342013888889,14
9,1.0,-0.14957682291666666,3
10,1.0,-0.3243815104166667,18
11,1.0,-0.3767903645833333,13
12,1.0,-0.29736328125,27
13,1.0,-0.2664930555555556,15
14,1.0,-0.2235785590277778,7
15,0.53125,-0.5493706597222222,12
16,1.0,-0.2692057291666667,15
17,1.0,-0.2118598090277778,15
18,1.0,-0.2011176215277778,17
19,1.0,-0.1489800347222222,8
20,0.96875,-0.3762478298611111,16
21,1.0,-0.3289388020833333,17
22,0.65625,-0.3965386284722222,15
23,0.84375,-0.2800564236111111,21
24,1.0,-0.2028537326388889,5
25,1.0,-0.1598849826388889,5
26,1.0,-0.2759874131944444,12
27,1.0,-0.2624782986111111,14
28,1.0,-0.3293728298611111,9
29,1.0,-0.3359375,12
30,1.0,-0.22102864583333334,13
31,1.0,-0.24229600694444445,8
32,1.0,-0.23470052083333334,17
33,1.0,-0.19449869791666666,4
34,1.0,-0.4014214409722222,20
35,1.0,-0.2145724826388889,9
36,1.0,-0.16760887772194305,9
37,0.5,-0.5341254340277778,14
38,1.0,-0.2841254340277778,12
39,1.0,-0.12293836805555555,4
40,1.0,-0.2521701388888889,11
41,1.0,-0.2514105902777778,9
42,1.0,-0.15983072916666666,11
43,0.84375,-0.3402235243055556,22
44,1.0,-0.2887369791666667,7
45,0.9375,-0.25830078125,24
46,1.0,-0.12440321180555555,3
47,1.0,-0.3277994791666667,11
48,1.0,-0.20713975694444445,7
49,1.0,-0.3720703125,20
50,1.0,-0.2322048611111111,9
51,1.0,-0.3875868055555556,17
52,1.0,-0.23486328125,10
53,1.0,-0.2578125,14
54,1.0,-0.15565321180555555,5
55,1.0,-0.1967230902777778,10
56,1.0,-0.2608506944444444,12
57,1.0,-0.21544053819444445,13
58,1.0,-0.2439236111111111,13
59,1.0,-0.20008680555555555,4
60,1.0,-0.13536241319444445,7
61,1.0,-0.2827690972222222,19
62,1.0,-0.3113606770833333,10
63,1.0,-0.2432183159722222,6
64,1.0,-0.37451171875,18
65,1.0,-0.21256510416666666,7
66,1.0,-0.2275933159722222,7
67,1.0,-0.2409396701388889,15
68,1.0,-0.1731228298611111,8
69,1.0,-0.2957899305555556,19
70,0.9375,-0.3312174479166667,15
71,1.0,-0.17762586805555555,11
72,1.0,-0.16520182291666666,7
73,1.0,-0.2188042534722222,17
74,0.21875,-0.8090277777777778,15
75,1.0,-0.2951931423611111,9
76,1.0,-0.21788194444444445,7
77,1.0,-0.2141384548611111,10
78,1.0,-0.2928059895833333,11
79,1.0,-0.24934895833333334,7
80,0.875,-0.3088107638888889,17
81,0.1875,-0.8302408854166666,26
82,0.75,-0.43408203125,14
83,1.0,-0.2143012152777778,9
84,1.0,-0.23621961805555555,8
