,pc,returns,malfs
0,1.0,-0.08239795918367347,1
1,1.0,-0.12665816326530613,1
2,1.0,-0.1377551020408163,1
3,1.0,-0.16301020408163266,5
4,0.5,-0.5443877551020408,8
5,1.0,-0.20127551020408163,3
6,1.0,-0.11084183673469387,2
7,1.0,-0.11160714285714286,2
8,1.0,-0.0863037109375,2
9,1.0,-0.16552734375,4
10,1.0,-0.09349489795918367,1
11,1.0,-0.10293367346938775,3
12,1.0,-0.15165816326530612,1
13,1.0,-0.08482142857142858,3
14,1.0,-0.2315051020408163,1
15,1.0,-0.16479591836734694,3
16,1.0,-0.22334183673469388,4
17,1.0,-0.2372448979591837,4
18,0.25,-0.7659438775510204,8
19,1.0,-0.2815051020408163,4
20,0.125,-0.8860969387755102,5
21,1.0,-0.2785714285714286,3
22,1.0,-0.12232142857142857,4
23,0.0,-1.0,9
24,1.0,-0.09298469387755103,0
25,1.0,-0.17359693877551022,2
26,1.0,-0.18010204081632653,2
27,1.0,-0.16084183673469388,4
28,1.0,-0.11811224489795918,2
29,1.0,-0.11709183673469388,3
30,1.0,-0.186734693877551,6
31,1.0,-0.22971938775510203,4
32,0.9375,-0.26326530612244897,6
33,1.0,-0.092041015625,0
34,1.0,-0.1110969387755102,4
35,1.0,-0.29706632653061227,7
36,1.0,-0.1889030612244898,5
37,1.0,-0.10012755102040816,2
38,1.0,-0.3667091836734694,7
39,1.0,-0.17665816326530612,3
40,1.0,-0.14107142857142857,4
41,1.0,-0.16058673469387755,6
42,0.8125,-0.2896683673469388,9
43,1.0,-0.17283163265306123,3
44,1.0,-0.23545918367346938,2
45,1.0,-0.11951530612244898,4
46,0.375,-0.6497448979591837,12
47,0.9375,-0.30994897959183676,6
48,0.625,-0.4144287109375,8
49,1.0,-0.15586734693877552,6
50,1.0,-0.11364795918367347,0
51,1.0,-0.16084183673469388,1
52,0.9375,-0.32627551020408163,9
53,1.0,-0.2149234693877551,4
54,1.0,-0.06224489795918367,0
55,1.0,-0.1718112244897959,1
56,1.0,-0.17308673469387756,2
57,1.0,-0.18788265306122448,2
58,0.5625,-0.5113520408163266,7
59,1.0,-0.1927295918367347,2
60,1.0,-0.23252551020408163,5
61,1.0,-0.22869897959183674,7
62,1.0,-0.0784438775510204,3
63,1.0,-0.11823979591836735,4
64,1.0,-0.12869897959183674,1
65,0.875,-0.2526785714285714,10
66,1.0,-0.13188775510204082,1
67,1.0,-0.10994897959183673,1
68,1.0,-0.0947265625,0
69,0.0,-1.0,12
70,0.6875,-0.4,4
71,0.8125,-0.30318877551020407,9
72,1.0,-0.1691326530612245,4
73,1.0,-0.1041259765625,1
74,1.0,-0.12959183673469388,2
75,1.0,-0.21709183673469387,3
76,1.0,-0.11683673469387755,4
77,0.875,-0.29923469387755103,6
78,1.0,-0.3353316326530612,6
79,1.0,-0.1360969387755102,3
80,1.0,-0.2573979591836735,4
81,1.0,-0.1100765306122449,3
82,0.75,-0.34987244897959185,9
83,0.0,-1.0,16
84,1.0,-0.062372448979591835,1
85,1.0,-0.15127551020408164,4
86,0.5,-0.5525510204081633,11
87,1.0,-0.22869897959183674,3
88,1.0,-0.09489795918367347,2
89,1.0,-0.11900510204081632,2
90,0.625,-0.47512755102040816,10
91,1.0,-0.22410714285714287,4
92,0.625,-0.4582908163265306,11
93,0.8125,-0.29426020408163267,9
94,1.0,-0.18214285714285713,2
95,1.0,-0.11339285714285714,2
96,1.0,-0.16135204081632654,3
97,1.0,-0.1392857142857143,1
98,1.0,-0.1590561224489796,7
99,1.0,-0.1420918367346939,3
100,1.0,-0.0927295918367347,2
101,1.0,-0.19183673469387755,5
102,1.0,-0.11556122448979592,0
103,1.0,-0.20255102040816325,5
104,1.0,-0.20280612244897958,2
105,1.0,-0.19209183673469388,4
106,1.0,-0.12678571428571428,2
107,0.75,-0.34375,8
108,1.0,-0.21887755102040815,4
109,0.6875,-0.3635204081632653,5
110,1.0,-0.317138671875,8
111,1.0,-0.175,2
112,1.0,-0.0909438775510204,2
113,1.0,-0.21926020408163266,3
114,1.0,-0.08877551020408163,0
115,1.0,-0.1702880859375,0
116,1.0,-0.22130102040816327,5
117,1.0,-0.14426020408163265,3
118,1.0,-0.1896683673469388,4
119,1.0,-0.150390625,2
120,1.0,-0.11607142857142858,2
121,1.0,-0.10841836734693877,3
122,1.0,-0.14808673469387756,2
123,0.6875,-0.38826530612244897,8
124,1.0,-0.14285714285714285,5
125,1.0,-0.12283163265306123,1
126,1.0,-0.12410714285714286,2
127,0.8125,-0.31160714285714286,7
128,0.6875,-0.37423469387755104,8
129,1.0,-0.18622448979591838,2
130,1.0,-0.1110969387755102,0
131,1.0,-0.14821428571428572,2
132,0.9375,-0.25778061224489796,6
133,1.0,-0.1822704081632653,1
134,0.125,-0.8797193877551021,10
135,1.0,-0.1774234693877551,2
136,1.0,-0.28214285714285714,4
137,1.0,-0.13954081632653062,4
138,1.0,-0.15599489795918367,3
139,1.0,-0.19783163265306122,6
140,0.6875,-0.42716836734693875,9
141,1.0,-0.10625,1
142,1.0,-0.20676020408163265,4
143,0.75,-0.32410714285714287,5
144,1.0,-0.10650510204081633,2
145,1.0,-0.17283163265306123,5
146,1.0,-0.19426020408163266,0
147,1.0,-0.16275510204081634,3
148,1.0,-0.1719970703125,1
149,1.0,-0.08443877551020408,0
150,0.25,-0.7815051020408164,6
151,1.0,-0.09068877551020409,3
152,1.0,-0.20841836734693878,4
153,1.0,-0.11403061224489795,1
154,0.75,-0.34579081632653064,6
155,1.0,-0.1971938775510204,1
156,1.0,-0.07551020408163266,3
157,1.0,-0.14846938775510204,4
158,1.0,-0.20369897959183675,1
159,1.0,-0.09056122448979592,1
160,1.0,-0.098876953125,0
161,1.0,-0.09681122448979591,2
162,1.0,-0.21364795918367346,7
163,1.0,-0.09642857142857143,0
164,1.0,-0.1492919921875,2
165,1.0,-0.07168367346938775,1
166,1.0,-0.3424744897959184,1
167,1.0,-0.0472412109375,0
168,1.0,-0.11352040816326531,5
169,1.0,-0.118408203125,1
170,1.0,-0.1264030612244898,0
171,1.0,-0.16058673469387755,2
172,0.125,-0.8855867346938775,10
173,1.0,-0.22959183673469388,3
174,1.0,-0.11505102040816327,0
