,pc,returns,malfs
0,0.6875,-0.4803634232121923,56
1,0.8125,-0.5969372801875733,46
2,0.90625,-0.40344739155920284,47
3,0.75,-0.5897750586166471,67
4,1.0,-0.3499413833528722,45
5,1.0,-0.3912478018757327,45
6,0.8125,-0.5966808323563892,59
7,1.0,-0.3988313305978898,71
8,1.0,-0.45832722743259086,43
9,0.421875,-0.6425483587338804,69
10,0.96875,-0.4928194607268464,60
11,0.515625,-0.7390643317702228,55
12,0.15625,-0.8563525791324736,47
13,1.0,-0.4007913247362251,36
14,0.15625,-0.8850014654161782,63
15,0.828125,-0.528667203985932,56
16,0.359375,-0.8109979484173505,47
17,1.0,-0.3046050703399766,40
18,0.640625,-0.6701348182883939,49
19,0.8125,-0.5206440504103166,69
20,0.734375,-0.5631594372801876,52
21,1.0,-0.36908338218053927,40
22,0.75,-0.5161378956623681,41
23,0.296875,-0.7286415592028136,56
24,1.0,-0.31726260257913247,47
25,0.984375,-0.5024912075029309,51
26,0.390625,-0.662642878077374,65
27,1.0,-0.4464939917936694,49
28,0.609375,-0.5482671453692849,57
29,0.09375,-0.91916398007034,57
30,0.703125,-0.5581953399765534,60
31,0.71875,-0.567409144196952,68
32,0.125,-0.8799457796014069,61
33,1.0,-0.29099501758499413,46
34,0.5625,-0.7525644783118406,45
35,0.703125,-0.5132986518171161,52
36,0.96875,-0.4594629249706917,47
37,1.0,-0.3587705158264947,49
38,0.5625,-0.6017548358733881,54
39,1.0,-0.39531433177022274,45
40,0.859375,-0.45561620750293086,54
41,1.0,-0.31546746776084406,49
42,0.9375,-0.4287075029308324,64
43,0.921875,-0.5366170867526378,51
44,1.0,-0.3589353751465416,45
45,1.0,-0.37536635404454866,43
46,0.96875,-0.3967980656506448,52
47,0.734375,-0.5524069460726846,54
48,0.921875,-0.5137016412661196,44
49,0.6875,-0.4846131301289566,49
50,0.375,-0.6747508792497069,63
51,0.765625,-0.5544585287221571,49
52,0.640625,-0.4738056858147714,47
53,0.171875,-0.8462228898007034,43
54,1.0,-0.36142658264947247,48
55,1.0,-0.27243918522860494,40
56,1.0,-0.28416251465416176,38
