,pc,returns,malfs
0,1.0,-0.28302973199329984,8
1,1.0,-0.20887586805555555,9
2,1.0,-0.4087999131944444,25
3,1.0,-0.3185763888888889,12
4,1.0,-0.3080512152777778,15
5,1.0,-0.3931206597222222,18
6,1.0,-0.23828125,11
7,1.0,-0.22200520833333334,16
8,1.0,-0.2697482638888889,18
9,1.0,-0.2671983506944444,12
10,1.0,-0.3570963541666667,12
11,1.0,-0.2521701388888889,9
12,0.25,-0.7823893229166666,19
13,1.0,-0.2289496527777778,9
14,1.0,-0.26220703125,3
15,1.0,-0.1396484375,10
16,1.0,-0.1677517361111111,12
17,1.0,-0.3865017361111111,19
18,1.0,-0.25634765625,13
19,1.0,-0.2838541666666667,11
20,1.0,-0.2020941840277778,6
21,1.0,-0.25927734375,9
22,1.0,-0.3723415798611111,17
23,0.1875,-0.8271484375,13
24,1.0,-0.2333984375,9
25,1.0,-0.1864691840277778,13
26,0.53125,-0.5005425347222222,14
27,1.0,-0.2711588541666667,18
28,1.0,-0.2444118923611111,10
29,1.0,-0.37158203125,17
30,1.0,-0.2451171875,17
31,1.0,-0.24186197916666666,11
32,1.0,-0.18310546875,8
33,0.34375,-0.6785481770833334,14
34,1.0,-0.2774522569444444,10
35,0.90625,-0.3823784722222222,20
36,1.0,-0.2509765625,8
37,0.78125,-0.3508029513888889,23
38,1.0,-0.2033962673611111,5
39,1.0,-0.2658420138888889,17
40,1.0,-0.21815321180555555,12
41,1.0,-0.17578125,3
42,1.0,-0.3364800347222222,16
43,1.0,-0.21940104166666666,10
44,0.71875,-0.3942599826388889,22
45,1.0,-0.1698676215277778,8
46,1.0,-0.2441948784722222,11
47,0.875,-0.4702690972222222,27
48,1.0,-0.21875,12
49,1.0,-0.1647677951388889,7
50,1.0,-0.4341905381944444,19
51,1.0,-0.3498806423611111,11
52,0.65625,-0.4734700520833333,24
53,1.0,-0.21614583333333334,7
54,1.0,-0.2921549479166667,16
55,1.0,-0.26123046875,16
56,1.0,-0.14973958333333334,4
57,1.0,-0.17431640625,9
58,1.0,-0.3428819444444444,16
59,0.6875,-0.7281358506944444,17
60,1.0,-0.255859375,10
61,1.0,-0.23697916666666666,11
62,1.0,-0.2316623263888889,11
63,1.0,-0.20686848958333334,17
64,1.0,-0.3700086805555556,15
65,1.0,-0.2737630208333333,17
66,1.0,-0.3440755208333333,12
67,1.0,-0.2621527777777778,13
68,1.0,-0.20328776041666666,8
69,1.0,-0.13780381944444445,6
70,1.0,-0.32763671875,6
71,1.0,-0.3098958333333333,16
72,0.5,-0.54638671875,16
73,1.0,-0.1886935763888889,14
74,1.0,-0.23475477430555555,11
75,1.0,-0.17236328125,6
76,1.0,-0.2671440972222222,13
77,0.71875,-0.3855251736111111,17
78,1.0,-0.20686848958333334,11
79,1.0,-0.2888454861111111,13
80,0.71875,-0.3809678819444444,21
81,1.0,-0.2134331597222222,8
82,1.0,-0.1692165798611111,5
83,1.0,-0.2586805555555556,22
84,0.78125,-0.4771592881944444,15
85,1.0,-0.3266059027777778,14
86,0.53125,-0.5367296006944444,24
87,1.0,-0.2354058159722222,9
88,1.0,-0.23990885416666666,16
89,1.0,-0.19178602430555555,14
90,0.90625,-0.2689887152777778,13
91,1.0,-0.2628580729166667,9
92,1.0,-0.1833224826388889,10
93,1.0,-0.2994791666666667,16
94,1.0,-0.2552625868055556,6
95,1.0,-0.2024197048611111,10
96,1.0,-0.1840277777777778,8
97,1.0,-0.21891276041666666,13
98,1.0,-0.2305230034722222,8
99,1.0,-0.1867404513888889,7
100,1.0,-0.24104817708333334,10
101,1.0,-0.1598849826388889,7
102,1.0,-0.2610971524288107,7
103,1.0,-0.2540690104166667,19
104,1.0,-0.11463758680555555,9
105,1.0,-0.2313910590277778,7
106,1.0,-0.2543402777777778,11
107,1.0,-0.22254774305555555,4
108,1.0,-0.1291232638888889,5
109,1.0,-0.21940104166666666,8
110,1.0,-0.3187391493055556,21
111,1.0,-0.2253689236111111,5
112,1.0,-0.23876953125,15
113,1.0,-0.2741970486111111,17
114,0.59375,-0.4385308159722222,10
115,1.0,-0.2643229166666667,8
116,1.0,-0.16786024305555555,7
117,0.90625,-0.2917209201388889,19
118,0.9375,-0.1662326388888889,18
119,0.8125,-0.3645290798611111,14
120,0.5625,-0.4901801215277778,13
121,0.28125,-0.7405056423611112,26
122,1.0,-0.2043728298611111,12
123,1.0,-0.1574435763888889,8
124,1.0,-0.2664930555555556,14
125,1.0,-0.23567708333333334,7
126,1.0,-0.2312282986111111,12
127,1.0,-0.2870008680555556,9
128,1.0,-0.3050672743055556,11
129,1.0,-0.1698676215277778,5
130,1.0,-0.25634765625,11
131,0.46875,-0.5622287326388888,14
132,1.0,-0.2964952256944444,21
133,1.0,-0.2535807291666667,13
134,1.0,-0.23643663194444445,5
135,1.0,-0.3606228298611111,18
136,1.0,-0.3675130208333333,19
137,1.0,-0.2572699652777778,8
138,1.0,-0.1504448784722222,11
139,1.0,-0.21142578125,19
140,1.0,-0.2260783082077052,6
141,0.84375,-0.2506510416666667,15
142,1.0,-0.2099066840277778,7
143,1.0,-0.302734375,13
144,1.0,-0.23160807291666666,10
145,1.0,-0.14149305555555555,6
146,1.0,-0.20784505208333334,8
147,1.0,-0.17594401041666666,7
148,1.0,-0.2262912326388889,9
149,0.75,-0.3765733506944444,17
150,1.0,-0.1408962673611111,9
151,1.0,-0.2009006076388889,6
152,1.0,-0.1919487847222222,8
153,1.0,-0.2304144965277778,8
154,1.0,-0.16883680555555555,4
155,1.0,-0.1750217013888889,6
156,1.0,-0.2532552083333333,15
157,1.0,-0.24723307291666666,11
158,1.0,-0.2892252604166667,19
159,0.65625,-0.4954969618055556,24
160,1.0,-0.20860460069444445,7
161,1.0,-0.29345703125,10
162,1.0,-0.20719401041666666,8
163,0.34375,-0.6784939236111112,13
164,1.0,-0.11008165829145729,5
165,1.0,-0.21613274706867672,5
166,1.0,-0.3307291666666667,23
167,1.0,-0.3005099826388889,14
168,1.0,-0.2412109375,16
169,1.0,-0.33154296875,19
170,1.0,-0.3203125,16
171,1.0,-0.2414279513888889,8
172,1.0,-0.17805989583333334,3
173,1.0,-0.18739149305555555,4
174,0.71875,-0.38671875,21
175,1.0,-0.3208550347222222,6
176,1.0,-0.21110026041666666,13
177,1.0,-0.2165798611111111,7
178,1.0,-0.18543836805555555,6
179,1.0,-0.16634114583333334,7
180,1.0,-0.18733723958333334,11
181,1.0,-0.20760050251256282,13
182,1.0,-0.1845160590277778,12
183,1.0,-0.24267578125,7
184,0.78125,-0.4911566840277778,13
185,0.8125,-0.3837890625,25
186,1.0,-0.1796875,5
187,1.0,-0.25244140625,11
188,1.0,-0.2116427951388889,11
189,0.28125,-0.7439236111111112,18
190,1.0,-0.21826171875,8
191,1.0,-0.2307400173611111,11
192,1.0,-0.17588975694444445,7
193,1.0,-0.2570529513888889,10
194,1.0,-0.3134223090277778,13
195,1.0,-0.2119683159722222,5
196,1.0,-0.2463107638888889,14
197,1.0,-0.222571189279732,11
198,1.0,-0.3024631076388889,13
199,1.0,-0.2490234375,11
200,1.0,-0.2465277777777778,14
201,1.0,-0.1523980034722222,6
202,1.0,-0.3326280381944444,15
203,1.0,-0.4595269097222222,15
204,1.0,-0.34765625,14
205,1.0,-0.2518446180555556,16
206,1.0,-0.2834743923611111,9
207,1.0,-0.2064887152777778,14
208,1.0,-0.3937174479166667,15
209,1.0,-0.1892361111111111,2
210,1.0,-0.17838541666666666,7
211,0.90625,-0.4075520833333333,23
212,0.8125,-0.3363172743055556,19
213,1.0,-0.28662109375,18
214,1.0,-0.3259006076388889,15
215,1.0,-0.1723090277777778,8
216,1.0,-0.3949958123953099,8
217,1.0,-0.2384982638888889,8
218,1.0,-0.2788628472222222,11
219,0.59375,-0.4746636284722222,16
220,1.0,-0.2031792534722222,11
221,1.0,-0.25634765625,10
222,1.0,-0.26123046875,12
223,1.0,-0.1650933159722222,4
224,1.0,-0.2658962673611111,14
225,1.0,-0.1763237847222222,5
226,1.0,-0.2683376736111111,8
227,0.125,-0.8808626465661642,22
228,0.46875,-0.5662977430555556,19
229,1.0,-0.2660590277777778,14
230,1.0,-0.2396918402777778,15
231,1.0,-0.3129340277777778,11
232,1.0,-0.26455192629815744,11
233,1.0,-0.2772352430555556,13
234,1.0,-0.3390842013888889,16
235,1.0,-0.2345920138888889,6
236,1.0,-0.20030381944444445,6
237,1.0,-0.23811848958333334,9
238,0.75,-0.4447699652777778,24
239,1.0,-0.2960611979166667,2
240,1.0,-0.1439887152777778,4
241,1.0,-0.24479166666666666,11
242,1.0,-0.2686631944444444,8
243,0.78125,-0.3590494791666667,17
244,1.0,-0.18956163194444445,6
245,1.0,-0.1393771701388889,6
246,1.0,-0.2915581597222222,11
247,0.21875,-0.7938368055555556,19
248,1.0,-0.1859809027777778,13
249,1.0,-0.2609592013888889,12
250,1.0,-0.2009548611111111,8
251,0.78125,-0.3104926215277778,27
252,1.0,-0.16422526041666666,4
253,1.0,-0.2880859375,8
254,1.0,-0.1942816840277778,7
255,0.96875,-0.4254557291666667,19
256,1.0,-0.2524956597222222,9
257,1.0,-0.2632378472222222,14
258,1.0,-0.2739800347222222,13
259,0.875,-0.4557291666666667,26
260,1.0,-0.2636176215277778,10
261,0.8125,-0.3414171006944444,18
262,1.0,-0.16270616319444445,7
263,1.0,-0.2638888888888889,13
264,0.59375,-0.5404730902777778,22
265,1.0,-0.21158854166666666,9
266,0.71875,-0.4962565104166667,12
267,0.875,-0.4842122395833333,26
268,1.0,-0.2676866319444444,9
269,1.0,-0.2944878472222222,12
270,1.0,-0.1637912326388889,7
271,1.0,-0.1427951388888889,7
272,1.0,-0.17057291666666666,11
273,0.5625,-0.4903428819444444,19
274,1.0,-0.2343207465277778,9
