,pc,returns,malfs
0,1.0,-0.14119897959183675,2
1,1.0,-0.12142857142857143,4
2,1.0,-0.1229248046875,1
3,1.0,-0.11760204081632653,2
4,1.0,-0.11977040816326531,2
5,0.625,-0.5613520408163265,9
6,1.0,-0.1308673469387755,4
7,1.0,-0.16198979591836735,3
8,1.0,-0.11670918367346939,0
9,1.0,-0.16938775510204082,2
10,0.0625,-0.9392857142857143,8
11,1.0,-0.10854591836734694,1
12,1.0,-0.11352040816326531,2
13,1.0,-0.1,0
14,1.0,-0.08724489795918368,0
15,1.0,-0.13010204081632654,2
16,1.0,-0.086669921875,2
17,1.0,-0.08966836734693878,1
18,1.0,-0.1399234693877551,4
19,1.0,-0.125765306122449,2
20,1.0,-0.12053571428571429,1
21,1.0,-0.10012755102040816,2
22,1.0,-0.2125,6
23,1.0,-0.13673469387755102,2
24,1.0,-0.12653061224489795,1
25,0.8125,-0.36058673469387753,6
26,0.1875,-0.8197704081632653,7
27,1.0,-0.10803571428571429,0
28,1.0,-0.1405612244897959,3
29,1.0,-0.08984375,0
30,0.625,-0.45714285714285713,6
31,1.0,-0.33176020408163265,4
32,1.0,-0.1514030612244898,3
33,1.0,-0.09834183673469388,2
34,1.0,-0.12372448979591837,3
35,1.0,-0.07793367346938776,2
36,1.0,-0.1441326530612245,3
37,1.0,-0.1996173469387755,5
38,1.0,-0.18137755102040817,8
39,1.0,-0.16875,4
40,1.0,-0.13316326530612244,2
41,1.0,-0.1552734375,3
42,1.0,-0.2131377551020408,5
43,1.0,-0.2094387755102041,3
44,0.4375,-0.5956632653061225,8
45,1.0,-0.06645408163265307,3
46,1.0,-0.15625,0
47,1.0,-0.13941326530612244,2
48,1.0,-0.084228515625,0
49,1.0,-0.157015306122449,3
50,1.0,-0.07793367346938776,0
51,1.0,-0.13813775510204082,3
52,1.0,-0.15714285714285714,5
53,1.0,-0.0875,1
54,1.0,-0.17627551020408164,3
55,1.0,-0.18775510204081633,6
56,1.0,-0.17997448979591837,3
57,1.0,-0.4444580078125,8
58,1.0,-0.07895408163265306,0
59,1.0,-0.1455357142857143,5
60,0.4375,-0.6059948979591837,3
61,1.0,-0.12410714285714286,1
62,1.0,-0.1746173469387755,2
63,1.0,-0.13239795918367347,3
64,1.0,-0.07755102040816327,0
65,1.0,-0.08163265306122448,1
66,1.0,-0.10446428571428572,1
67,0.125,-0.8895408163265306,12
68,1.0,-0.18801020408163266,7
69,1.0,-0.27895408163265306,2
70,1.0,-0.13979591836734695,2
71,1.0,-0.133544921875,4
72,1.0,-0.12193877551020409,0
73,1.0,-0.11785714285714285,4
74,1.0,-0.14107142857142857,3
75,1.0,-0.116455078125,0
76,1.0,-0.10791015625,2
77,1.0,-0.0948486328125,2
78,1.0,-0.20688775510204083,6
79,1.0,-0.07691326530612246,0
80,1.0,-0.15433673469387754,1
81,1.0,-0.14221938775510204,1
82,0.0625,-0.939453125,10
83,1.0,-0.1774234693877551,4
84,1.0,-0.1264030612244898,2
85,1.0,-0.08635204081632653,2
86,1.0,-0.19706632653061223,6
87,1.0,-0.07691326530612246,2
88,1.0,-0.17436224489795918,0
89,1.0,-0.22346938775510203,5
90,1.0,-0.1264030612244898,2
91,1.0,-0.12857142857142856,1
92,1.0,-0.08227040816326531,1
93,1.0,-0.121337890625,0
94,1.0,-0.24221938775510204,1
95,1.0,-0.09030612244897959,3
96,0.625,-0.4125,7
97,1.0,-0.19987244897959183,5
98,1.0,-0.19502551020408163,1
99,1.0,-0.07385204081632653,1
100,1.0,-0.20688775510204083,6
101,1.0,-0.13941326530612244,4
102,1.0,-0.10956632653061224,1
103,1.0,-0.12372448979591837,2
104,1.0,-0.1584183673469388,1
105,1.0,-0.17806122448979592,2
