,pc,returns,malfs
0,0.046875,-0.9542973329425557,56
1,0.078125,-0.9252820926143025,48
2,0.140625,-0.8644306858147714,60
3,0.046875,-0.9547186400937866,37
4,0.046875,-0.955030041031653,53
5,0.078125,-0.9243112543962485,50
6,0.109375,-0.8945266705744431,50
7,0.0625,-0.9407422332942555,49
8,0.03125,-0.9700139214536928,58
9,0.203125,-0.8046783411488863,63
10,0.046875,-0.9559092907385698,59
11,0.046875,-0.95583601992966,61
12,0.03125,-0.9699223329425557,47
13,0.015625,-0.9846864009378663,56
14,0.015625,-0.9848695779601406,42
15,0.0625,-0.9398996189917936,46
16,0.0625,-0.9394233587338804,41
17,0.03125,-0.9701238276670574,61
18,0.078125,-0.9255751758499414,50
19,0.0625,-0.9391852286049238,64
20,0.03125,-0.9696109320046893,58
21,0.078125,-0.924329572098476,51
22,0.03125,-0.9698673798358733,44
23,0.046875,-0.9556711606096131,35
24,0.09375,-0.9133389507620164,49
25,0.015625,-0.9849794841735052,60
26,0.015625,-0.9848878956623681,61
27,0.046875,-0.955158264947245,52
28,0.09375,-0.9090526084407972,49
29,0.0625,-0.9401560668229777,43
30,0.046875,-0.9546820046893317,43
31,0.03125,-0.9695376611957796,58
32,0.015625,-0.9848878956623681,54
33,0.03125,-0.9695010257913247,42
34,0.0625,-0.9405956916764361,55
35,0.203125,-0.8051179660023446,54
36,0.109375,-0.8948014361078547,53
37,0.0625,-0.9390753223915592,48
38,0.078125,-0.9246226553341149,51
39,0.09375,-0.909510550996483,59
40,0.015625,-0.9850893903868698,42
41,0.046875,-0.9549384525205158,55
42,0.03125,-0.9697208382180539,43
43,0.03125,-0.9699772860492379,54
44,0.15625,-0.849721570926143,61
45,0.09375,-0.9118368991793669,66
46,0.046875,-0.95448050996483,54
47,0.140625,-0.8638994724501758,60
48,0.046875,-0.9557627491207503,38
49,0.125,-0.8812097010550997,47
50,0.09375,-0.909803634232122,46
51,0.078125,-0.9267658264947245,49
52,0.03125,-0.9708015826494725,51
53,0.078125,-0.924879103165299,51
54,0.09375,-0.9090709261430246,62
55,0.0625,-0.9396981242672919,59
56,0.046875,-0.956385550996483,53
57,0.109375,-0.8956440504103166,49
58,0.171875,-0.8342980656506448,63
59,0.09375,-0.9118002637749121,53
60,0.0625,-0.9401194314185228,48
61,0.140625,-0.8653099355216881,51
62,0.109375,-0.8945266705744431,51
63,0.078125,-0.9246043376318874,64
64,0.046875,-0.9560924677608441,48
65,0.15625,-0.8505825029308324,62
66,0.015625,-0.9849062133645955,57
67,0.09375,-0.9112140973036342,57
68,0.09375,-0.9089060668229777,54
69,0.03125,-0.9697574736225087,53
70,0.140625,-0.8658594665885111,46
71,0.046875,-0.9551949003516998,52
72,0.015625,-0.9849428487690504,45
73,0.0625,-0.9398813012895663,56
74,0.09375,-0.9102432590855803,55
75,0.0,-1.0,62
76,0.015625,-0.9851992966002344,70
77,0.03125,-0.969684202813599,48
78,0.125,-0.8811913833528722,56
79,0.046875,-0.9544072391559203,56
80,0.078125,-0.9257583528722158,44
81,0.078125,-0.9250439624853458,49
82,0.078125,-0.9254469519343493,53
83,0.0625,-0.9406140093786636,54
84,0.140625,-0.8652916178194607,45
85,0.140625,-0.867801143024619,70
86,0.03125,-0.9695010257913247,61
87,0.046875,-0.9543339683470106,45
88,0.171875,-0.8325762016412661,53
89,0.0625,-0.9404491500586166,49
90,0.203125,-0.8080854337631888,59
91,0.09375,-0.9086313012895663,42
92,0.09375,-0.909638774912075,56
93,0.03125,-0.9700322391559203,48
94,0.046875,-0.9543156506447831,39
95,0.03125,-0.9696475674091442,46
96,0.078125,-0.9250439624853458,62
97,0.078125,-0.9249890093786636,58
98,0.03125,-0.971332796014068,54
99,0.125,-0.8789199882766706,64
100,0.03125,-0.969684202813599,66
101,0.0625,-0.9390753223915592,65
102,0.078125,-0.9256301289566237,51
103,0.109375,-0.8956440504103166,52
104,0.09375,-0.9094006447831184,66
105,0.046875,-0.956257327080891,63
106,0.125,-0.882198856975381,59
107,0.046875,-0.9553231242672919,57
108,0.09375,-0.9096937280187574,49
109,0.078125,-0.9258865767878077,53
110,0.171875,-0.833803487690504,49
111,0.109375,-0.8958638628370457,44
112,0.03125,-0.9705268171160609,58
113,0.03125,-0.9697757913247362,55
114,0.09375,-0.9091075615474795,50
115,0.03125,-0.9697208382180539,54
116,0.109375,-0.8985565650644783,46
117,0.09375,-0.908539712778429,57
118,0.109375,-0.8949113423212193,58
119,0.09375,-0.9090159730363423,49
120,0.0625,-0.9392768171160609,70
121,0.09375,-0.9096754103165299,57
122,0.078125,-0.9240914419695193,44
123,0.03125,-0.9699040152403282,60
124,0.0625,-0.9397347596717468,45
125,0.09375,-0.909803634232122,56
126,0.015625,-0.9850893903868698,60
127,0.203125,-0.8063452520515827,61
128,0.171875,-0.8366976846424384,45
129,0.046875,-0.9551765826494725,58
130,0.046875,-0.955414712778429,45
131,0.171875,-0.8361298358733881,56
132,0.078125,-0.9256484466588512,42
133,0.09375,-0.9096570926143025,54
134,0.03125,-0.9698856975381008,44
135,0.078125,-0.9248058323563892,63
