,pc,returns,malfs
0,0.09375,-0.91259765625,19
1,0.21875,-0.7959526909722222,25
2,0.03125,-0.9730902777777778,18
3,0.40625,-0.6158311631944444,15
4,0.0,-1.0,15
5,0.0625,-0.9407009548611112,25
6,0.125,-0.8794487847222222,13
7,0.09375,-0.9105360243055556,15
8,0.15625,-0.8550889756944444,16
9,0.3125,-0.7083333333333334,14
10,0.34375,-0.6771918402777778,15
11,0.0625,-0.9400499131944444,19
12,0.25,-0.7686631944444444,21
13,0.0625,-0.9397243923611112,22
14,0.15625,-0.8508029513888888,21
15,0.1875,-0.8270941840277778,24
16,0.09375,-0.9113498263888888,22
17,0.09375,-0.91162109375,16
18,0.21875,-0.7913411458333334,11
19,0.0625,-0.9393446180555556,14
20,0.09375,-0.9095052083333334,16
21,0.46875,-0.5702039930555556,21
22,0.0625,-0.9396701388888888,13
23,0.03125,-0.9694010416666666,17
24,0.0,-1.0,16
25,0.1875,-0.8234049479166666,23
26,0.28125,-0.7374131944444444,18
27,0.125,-0.8820529513888888,15
28,0.09375,-0.90966796875,21
29,0.25,-0.7632378472222222,19
30,0.0625,-0.9408637152777778,25
31,0.28125,-0.7330186631944444,21
32,0.0,-1.0,20
33,0.25,-0.7649739583333334,11
34,0.25,-0.7630208333333334,19
35,0.125,-0.8802083333333334,19
36,0.21875,-0.7915581597222222,16
37,0.28125,-0.73974609375,19
38,0.09375,-0.91064453125,19
39,0.09375,-0.9110785590277778,22
40,0.09375,-0.9105360243055556,21
41,0.03125,-0.9699978298611112,17
42,0.28125,-0.7314995659722222,17
43,0.125,-0.8809136284722222,15
44,0.03125,-0.9705403645833334,13
45,0.0625,-0.9402669270833334,20
46,0.03125,-0.9697808159722222,18
47,0.0,-1.0,21
48,0.125,-0.8797743055555556,17
49,0.40625,-0.6253797743055556,16
50,0.09375,-0.9124348958333334,27
51,0.0625,-0.9401584201388888,10
52,0.0625,-0.9406467013888888,18
53,0.21875,-0.7908528645833334,18
54,0.0,-1.0,14
55,0.21875,-0.7925347222222222,15
56,0.0,-1.0,19
57,0.09375,-0.9124348958333334,15
58,0.125,-0.8809678819444444,14
59,0.0,-1.0,16
60,0.125,-0.8788519965277778,19
61,0.15625,-0.8542209201388888,15
62,0.15625,-0.8532443576388888,15
63,0.28125,-0.73681640625,14
64,0.09375,-0.9198133680555556,20
65,0.09375,-0.9120008680555556,17
66,0.03125,-0.9704861111111112,16
67,0.03125,-0.9695638020833334,17
68,0.0625,-0.9404296875,24
69,0.125,-0.8811848958333334,20
70,0.3125,-0.7060546875,21
71,0.03125,-0.9701605902777778,18
72,0.3125,-0.70458984375,16
73,0.15625,-0.8510199652777778,15
74,0.15625,-0.8522677951388888,16
75,0.0625,-0.9407009548611112,14
76,0.3125,-0.7037760416666666,26
77,0.25,-0.7613932291666666,19
78,0.03125,-0.9702690972222222,19
79,0.1875,-0.8228081597222222,19
80,0.4375,-0.5944010416666666,19
81,0.0,-1.0,29
82,0.125,-0.8806423611111112,14
83,0.15625,-0.8582899305555556,18
84,0.03125,-0.9699435763888888,12
85,0.09375,-0.9096137152777778,18
86,0.28125,-0.7373589409722222,23
87,0.21875,-0.7936197916666666,16
88,0.15625,-0.8526475694444444,20
89,0.125,-0.8811848958333334,18
90,0.15625,-0.8512369791666666,14
91,0.21875,-0.7947048611111112,11
92,0.21875,-0.7938910590277778,18
93,0.03125,-0.9695095486111112,16
94,0.09375,-0.9095594618055556,19
95,0.0625,-0.9412977430555556,14
96,0.125,-0.8824327256944444,21
97,0.125,-0.8807508680555556,20
98,0.25,-0.7626953125,16
99,0.1875,-0.8210177951388888,21
100,0.1875,-0.8215060763888888,14
101,0.1875,-0.8210720486111112,15
102,0.125,-0.8792860243055556,22
103,0.03125,-0.9698350694444444,13
104,0.1875,-0.8236219618055556,22
105,0.0625,-0.9407009548611112,13
106,0.09375,-0.9097222222222222,15
107,0.09375,-0.9134114583333334,15
108,0.03125,-0.9704861111111112,17
109,0.09375,-0.9117838541666666,18
110,0.25,-0.7639431423611112,18
111,0.125,-0.8811306423611112,26
112,0.625,-0.4283311631944444,22
113,0.0625,-0.9400499131944444,15
114,0.03125,-0.9706488715277778,9
115,0.4375,-0.5852322048611112,22
116,0.09375,-0.9109157986111112,15
117,0.03125,-0.9717339409722222,23
118,0.1875,-0.8231879340277778,18
119,0.125,-0.8841145833333334,30
120,0.0625,-0.94140625,26
121,0.0625,-0.9397243923611112,16
122,0.09375,-0.9118381076388888,18
123,0.15625,-0.8510199652777778,17
124,0.09375,-0.9108072916666666,21
125,0.125,-0.87939453125,21
126,0.25,-0.7639431423611112,18
127,0.0625,-0.9412977430555556,20
128,0.1875,-0.8298611111111112,22
129,0.25,-0.7600368923611112,15
130,0.125,-0.8806423611111112,22
131,0.3125,-0.7099609375,16
132,0.09375,-0.91064453125,18
133,0.125,-0.8803168402777778,22
134,0.0625,-0.9402669270833334,17
135,0.09375,-0.9135199652777778,23
136,0.125,-0.8837348090277778,29
137,0.125,-0.8796115451388888,21
138,0.0,-1.0,18
139,0.15625,-0.8543294270833334,11
140,0.0,-1.0,15
141,0.03125,-0.9703776041666666,21
142,0.09375,-0.9120551215277778,17
143,0.21875,-0.7919921875,14
144,0.125,-0.8792860243055556,20
145,0.0,-1.0,25
146,0.03125,-0.9706488715277778,19
147,0.0625,-0.9398871527777778,21
148,0.09375,-0.91064453125,22
149,0.1875,-0.8198784722222222,29
150,0.15625,-0.8510199652777778,14
151,0.1875,-0.8187934027777778,21
152,0.0625,-0.9402669270833334,15
153,0.0,-1.0,23
154,0.1875,-0.8234049479166666,17
155,0.03125,-0.9706488715277778,20
156,0.125,-0.8796115451388888,15
157,0.0625,-0.9405924479166666,23
158,0.21875,-0.7977430555555556,17
159,0.03125,-0.9704318576388888,19
160,0.03125,-0.970703125,16
161,0.15625,-0.8534613715277778,16
162,0.125,-0.8810763888888888,15
163,0.0625,-0.9404839409722222,19
164,0.15625,-0.8542209201388888,17
