,pc,returns,malfs
0,0.25,-0.7656887755102041,4
1,0.0625,-0.9420918367346939,9
2,0.0,-1.0,9
3,1.0,-0.0546875,0
4,0.1875,-0.8227040816326531,7
5,0.375,-0.6480867346938776,12
6,0.0625,-0.9426020408163265,9
7,0.0,-1.0,8
8,0.6875,-0.3511479591836735,6
9,0.0625,-0.9413265306122449,6
10,0.125,-0.8813775510204082,5
11,0.1875,-0.8252551020408163,7
12,0.1875,-0.8214285714285714,6
13,0.3125,-0.7169642857142857,8
14,0.1875,-0.8211734693877552,4
15,0.375,-0.6483418367346939,6
16,0.6875,-0.35841836734693877,8
17,0.0,-1.0,8
18,0.0,-1.0,10
19,0.5625,-0.4677295918367347,7
20,0.0625,-0.9418367346938775,10
21,0.25,-0.7654336734693877,11
22,0.125,-0.8894132653061224,12
23,0.4375,-0.6025510204081632,11
24,0.0625,-0.9414540816326531,10
25,0.25,-0.7714285714285715,5
26,1.0,-0.07104591836734694,1
27,0.1875,-0.8224489795918367,7
28,0.0,-1.0,9
29,0.5625,-0.49081632653061225,14
30,0.3125,-0.7112244897959183,6
31,0.0,-1.0,7
32,0.125,-0.8830357142857143,3
33,0.0,-1.0,8
34,0.25,-0.7637755102040816,10
35,0.25,-0.7622448979591837,4
36,0.3125,-0.7362244897959184,9
37,0.625,-0.41964285714285715,5
38,0.4375,-0.5922193877551021,9
39,0.125,-0.8841836734693878,11
40,0.125,-0.8818877551020409,7
41,0.75,-0.2941326530612245,2
42,0.25,-0.7693877551020408,9
43,0.625,-0.41096938775510206,6
44,0.5,-0.5298469387755103,10
45,0.0,-1.0,6
46,0.125,-0.8825255102040817,8
47,0.0625,-0.9418367346938775,7
48,0.4375,-0.5933673469387755,12
49,0.6875,-0.35191326530612244,11
50,0.0,-1.0,4
51,0.6875,-0.35701530612244897,9
52,0.125,-0.8809948979591836,10
53,0.125,-0.8843112244897959,6
54,0.25,-0.7751275510204082,14
55,0.3125,-0.7035714285714286,6
56,0.375,-0.6447704081632653,5
57,0.375,-0.6542091836734694,8
58,0.125,-0.8846938775510204,7
59,0.125,-0.8789540816326531,12
60,0.3125,-0.6996173469387755,6
61,0.1875,-0.8243622448979592,7
62,0.25,-0.7588010204081632,8
63,0.5625,-0.4705357142857143,10
64,0.4375,-0.5857142857142857,4
65,0.8125,-0.28456632653061226,6
66,0.1875,-0.8192602040816327,8
67,0.1875,-0.8195153061224489,8
68,0.6875,-0.373469387755102,3
69,0.4375,-0.5952806122448979,8
70,0.625,-0.40676020408163266,11
71,0.25,-0.7808673469387755,10
72,0.625,-0.4274234693877551,8
73,0.4375,-0.5850765306122448,7
74,0.0,-1.0,6
75,0.4375,-0.5911989795918368,7
76,0.25,-0.7626275510204081,4
77,0.4375,-0.5877551020408164,5
78,0.25,-0.7729591836734694,3
79,0.375,-0.6465561224489796,6
80,0.0,-1.0,12
81,0.5625,-0.463265306122449,5
82,0.1875,-0.8238520408163266,7
83,0.0,-1.0,4
84,0.3125,-0.7262755102040817,9
85,1.0,-0.10063775510204082,4
86,0.25,-0.7693877551020408,12
87,0.125,-0.8845663265306123,9
88,0.1875,-0.8283163265306123,9
89,0.875,-0.21058673469387756,8
90,0.0,-1.0,5
91,0.0,-1.0,9
92,0.125,-0.8789540816326531,9
93,0.125,-0.8815051020408163,4
94,0.125,-0.8797193877551021,8
95,0.3125,-0.7024234693877551,10
96,0.875,-0.22321428571428573,7
97,0.375,-0.6478316326530612,10
98,0.375,-0.638265306122449,7
99,0.5,-0.5353316326530613,6
100,0.1875,-0.8270408163265306,9
101,0.625,-0.41977040816326533,6
102,0.0,-1.0,9
103,1.0,-0.0963134765625,5
104,0.4375,-0.5933673469387755,3
105,0.5625,-0.470280612244898,8
106,0.25,-0.7663265306122449,7
107,0.125,-0.8817602040816327,8
108,0.125,-0.8811224489795918,5
109,0.125,-0.8816326530612245,9
110,0.0625,-0.9417091836734693,10
111,0.5,-0.5311224489795918,6
112,0.1875,-0.8360969387755102,10
113,0.625,-0.39599609375,8
114,0.1875,-0.8232142857142857,8
115,0.0,-1.0,6
